accession	description
"SRR4009293"	"Illumina HiSeq 1000 sequencing; COLO205"
"SRR1756565"	"Illumina HiSeq 1000 sequencing; COLO205 RNA-Seq"
"SRR6756007"	"Illumina HiSeq 2000 sequencing; RNAseq of cell line CO:COLO205"
"SRR5071659"	"Illumina HiSeq 2000 sequencing; GSM2414765: COLO205; Homo sapiens; RNA-Seq"
"SRR14509529"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509528"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509527"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509526"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509525"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509524"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509523"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14509522"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510424"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510423"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510422"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510421"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510420"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510419"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510418"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14510417"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511009"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511008"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511007"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511006"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511005"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511004"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511003"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR14511002"	"Illumina MiSeq sequencing; Single-cell genomic sequencing of Colo205 cell line"
"SRR7366613"	"Illumina Genome Analyzer IIx sequencing; Exome seq of cell line CO:COLO205"
"SRR14301748"	"Illumina NovaSeq 6000 sequencing; GSM5260232: colo205-veh-2; Homo sapiens; RNA-Seq"
"SRR14301750"	"Illumina NovaSeq 6000 sequencing; GSM5260234: colo205-TAK-1; Homo sapiens; RNA-Seq"
"SRR14301751"	"Illumina NovaSeq 6000 sequencing; GSM5260235: colo205-TAK-2; Homo sapiens; RNA-Seq"
"SRR14301753"	"Illumina NovaSeq 6000 sequencing; GSM5260237: colo205-ML-1; Homo sapiens; RNA-Seq"
"SRR14301755"	"Illumina NovaSeq 6000 sequencing; GSM5260239: colo205-ML-3; Homo sapiens; RNA-Seq"
"SRR787317"	"Illumina Genome Analyzer IIx sequencing; GSM1102645: Colo205 Methylation; Homo sapiens; MBD-Seq"
"SRR3157853"	"Illumina HiSeq 2500 sequencing; GSM2058098: COLO205 input DNA; Homo sapiens; ChIP-Seq"
"SRR14301747"	"Illumina NovaSeq 6000 sequencing; GSM5260231: colo205-veh-1; Homo sapiens; RNA-Seq"
"SRR14301749"	"Illumina NovaSeq 6000 sequencing; GSM5260233: colo205-veh-3; Homo sapiens; RNA-Seq"
"SRR14301752"	"Illumina NovaSeq 6000 sequencing; GSM5260236: colo205-TAK-3; Homo sapiens; RNA-Seq"
"SRR14301754"	"Illumina NovaSeq 6000 sequencing; GSM5260238: colo205-ML-2; Homo sapiens; RNA-Seq"
"SRR6710651"	"NextSeq 500 sequencing; GSM2994883: COLO205.xenograft.combo.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR3157780"	"Illumina HiSeq 2500 sequencing; GSM2058025: COLO205 H3K27ac ChIP Seq; Homo sapiens; ChIP-Seq"
"SRR787309"	"Illumina Genome Analyzer IIx sequencing; GSM1102637: Colo205 total RNA; Homo sapiens; RNA-Seq"
"SRR3157818"	"Illumina HiSeq 2500 sequencing; GSM2058063: COLO205 H3K4me1 ChIP Seq; Homo sapiens; ChIP-Seq"
"SRR6710648"	"NextSeq 500 sequencing; GSM2994880: COLO205.xenograft.hFc.72hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710640"	"NextSeq 500 sequencing; GSM2994872: COLO205.xenograft.hFc.24hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710641"	"NextSeq 500 sequencing; GSM2994873: COLO205.xenograft.aflibercept.24hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710643"	"NextSeq 500 sequencing; GSM2994875: COLO205.xenograft.combo.24hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710649"	"NextSeq 500 sequencing; GSM2994881: COLO205.xenograft.aflibercept.72hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710650"	"NextSeq 500 sequencing; GSM2994882: COLO205.xenograft.anti-Dll4-Ab.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"SRR6710642"	"NextSeq 500 sequencing; GSM2994874: COLO205.xenograft.anti-Dll4-Ab.24hr.mm10; Homo sapiens; Mus musculus; RNA-Seq"
"ERR4972713"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
"ERR4972714"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
"ERR4972715"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
"ERR4972711"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
"ERR4972712"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
"ERR4972716"	"Illumina NovaSeq 6000 sequencing; scRNAseq of BRAF-mutant Colo205 cells control or treated for 24h or 72h with vemurafenib"
