accession	description
"SRR4009286"	"Illumina HiSeq 1000 sequencing; HCT15"
"SRR5071668"	"Illumina HiSeq 2000 sequencing; GSM2414774: HCT15; Homo sapiens; RNA-Seq"
"SRR629538"	"Illumina HiSeq 2000 sequencing; GSM1050101: HCT15 [RRBS]; Homo sapiens; Bisulfite-Seq"
"SRR13393967"	"NextSeq 550 sequencing; GSM5012132: HCT15 Con Total Rep1; Homo sapiens; RNA-Seq"
"SRR13393968"	"NextSeq 550 sequencing; GSM5012133: HCT15 Con Poly Rep1; Homo sapiens; RNA-Seq"
"SRR13393969"	"NextSeq 550 sequencing; GSM5012134: HCT15 shKSR1 Total Rep1; Homo sapiens; RNA-Seq"
"SRR13393970"	"NextSeq 550 sequencing; GSM5012135: HCT15 shKSR1 Poly Rep1; Homo sapiens; RNA-Seq"
"SRR13393975"	"NextSeq 550 sequencing; GSM5012140: HCT15 Con Total Rep2; Homo sapiens; RNA-Seq"
"SRR13393976"	"NextSeq 550 sequencing; GSM5012141: HCT15 Con Poly Rep2; Homo sapiens; RNA-Seq"
"SRR13393977"	"NextSeq 550 sequencing; GSM5012142: HCT15 shKSR1 Total Rep2; Homo sapiens; RNA-Seq"
"SRR13393978"	"NextSeq 550 sequencing; GSM5012143: HCT15 shKSR1 Poly Rep2; Homo sapiens; RNA-Seq"
"SRR13393959"	"NextSeq 550 sequencing; GSM5012148: HCT15 Con Total Rep3; Homo sapiens; RNA-Seq"
"SRR13393960"	"NextSeq 550 sequencing; GSM5012149: HCT15 Con Poly Rep3; Homo sapiens; RNA-Seq"
"SRR13393961"	"NextSeq 550 sequencing; GSM5012150: HCT15 shKSR1 Total Rep3; Homo sapiens; RNA-Seq"
"SRR13393962"	"NextSeq 550 sequencing; GSM5012151: HCT15 shKSR1 Poly Rep3; Homo sapiens; RNA-Seq"
"SRR1032160"	"Illumina Genome Analyzer II sequencing; GSM1267826: HCT15 spheres cells; Homo sapiens; RNA-Seq"
"SRR1032159"	"Illumina Genome Analyzer II sequencing; GSM1267825: HCT15 parental cells; Homo sapiens; RNA-Seq"
"SRR629523"	"Illumina Genome Analyzer IIx sequencing; GSM1050086: HCT15 [MBD MethylMagnet]; Homo sapiens; MBD-Seq"
"SRR629526"	"Illumina Genome Analyzer IIx sequencing; GSM1050089: HCT15 [MBD MethylCollector]; Homo sapiens; MBD-Seq"
"SRR629532"	"Illumina Genome Analyzer IIx sequencing; GSM1050095: HCT15 [MBD MethylCap]; Homo sapiens; MBD-Seq"
"SRR629535"	"Illumina Genome Analyzer IIx sequencing; GSM1050098: HCT15 [MBD MethylMiner]; Homo sapiens; MBD-Seq"
"SRR629529"	"Illumina Genome Analyzer IIx sequencing; GSM1050092: HCT15 [MBD MethylCollector Ultra]; Homo sapiens; MBD-Seq"
"SRR10069076"	"Illumina HiSeq 2000 sequencing; GSM4060938: HCT15 Cell line Input ChIP-seq; Homo sapiens; ChIP-Seq"
"SRR10069075"	"Illumina HiSeq 2000 sequencing; GSM4060937: HCT15 Cell line H3K27ac ChIP-seq; Homo sapiens; ChIP-Seq"
"SRR7550493"	"NextSeq 500 sequencing; GSM3301691: The miRNA profile of exosomes from parental HCT15 cells.; Homo sapiens; miRNA-Seq"
"SRR7550494"	"NextSeq 500 sequencing; GSM3301692: The miRNA profile of exosomes from HCT15-derived spheres.; Homo sapiens; miRNA-Seq"
