accession	description
"SRR1171978"	"Illumina HiSeq 2000 paired end sequencing; Mia PaCa2 Whole Transcriptome Sequencing"
"SRR1171886"	"Illumina HiSeq 2000 paired end sequencing; Mia PaCa2 Targeted Exome Sequencing"
"SRR11492549"	"NextSeq 500 sequencing; GSM4456034: MIA PaCa2 cell line_control_24h_Rep1; Homo sapiens; RNA-Seq"
"SRR11492551"	"NextSeq 500 sequencing; GSM4456036: MIA PaCa2 cell line_control_24h_Rep3; Homo sapiens; RNA-Seq"
"SRR14750842"	"Illumina NovaSeq 6000 sequencing; GSM5362562: Mia PaCa2-NC_rep1; Homo sapiens; ChIP-Seq"
"SRR14750844"	"Illumina NovaSeq 6000 sequencing; GSM5362564: Mia PaCa2-NC_rep2; Homo sapiens; ChIP-Seq"
"SRR14750846"	"Illumina NovaSeq 6000 sequencing; GSM5362566: Mia PaCa2-NC_rep3; Homo sapiens; ChIP-Seq"
"SRR14750847"	"Illumina NovaSeq 6000 sequencing; GSM5362567: Mia PaCa2-NC_rep3_input; Homo sapiens; ChIP-Seq"
"SRR14750848"	"Illumina NovaSeq 6000 sequencing; GSM5362568: Mia PaCa2-OE_rep1; Homo sapiens; ChIP-Seq"
"SRR14750849"	"Illumina NovaSeq 6000 sequencing; GSM5362569: Mia PaCa2-OE_rep2; Homo sapiens; ChIP-Seq"
"SRR14750850"	"Illumina NovaSeq 6000 sequencing; GSM5362570: Mia PaCa2-OE_rep3; Homo sapiens; ChIP-Seq"
"SRR11492550"	"NextSeq 500 sequencing; GSM4456035: MIA PaCa2 cell line_control_24h_Rep2; Homo sapiens; RNA-Seq"
"SRR14750843"	"Illumina NovaSeq 6000 sequencing; GSM5362563: Mia PaCa2-NC_rep1_input; Homo sapiens; ChIP-Seq"
"SRR14750845"	"Illumina NovaSeq 6000 sequencing; GSM5362565: Mia PaCa2-NC_rep2_input; Homo sapiens; ChIP-Seq"
"SRR11492540"	"NextSeq 500 sequencing; GSM4456025: MIA PaCa2 cell line_control_6h_ Rep1; Homo sapiens; RNA-Seq"
"SRR11492542"	"NextSeq 500 sequencing; GSM4456027: MIA PaCa2 cell line_control_6h_ Rep3; Homo sapiens; RNA-Seq"
"SRR11492541"	"NextSeq 500 sequencing; GSM4456026: MIA PaCa2 cell line_control_6h_ Rep2; Homo sapiens; RNA-Seq"
"SRR11919230"	"NextSeq 500 sequencing; GSM4589646: Untreated/control_6 h MIA PaCa2 cell line Rep2; Homo sapiens; RNA-Seq"
"SRR11919236"	"NextSeq 500 sequencing; GSM4589652: Untreated/control_24 h MIA PaCa2 cell line Rep2; Homo sapiens; RNA-Seq"
"SRR11919229"	"NextSeq 500 sequencing; GSM4589645: Untreated/control_6 h MIA PaCa2 cell line Rep1; Homo sapiens; RNA-Seq"
"SRR11919231"	"NextSeq 500 sequencing; GSM4589647: Untreated/control_6 h MIA PaCa2 cell line Rep3; Homo sapiens; RNA-Seq"
"SRR11919235"	"NextSeq 500 sequencing; GSM4589651: Untreated/control_24 h MIA PaCa2 cell line Rep1; Homo sapiens; RNA-Seq"
"SRR11919237"	"NextSeq 500 sequencing; GSM4589653: Untreated/control_24 h MIA PaCa2 cell line Rep3; Homo sapiens; RNA-Seq"
"SRR11919232"	"NextSeq 500 sequencing; GSM4589648: 40 nM SOP1812_6 h MIA PaCa2 cell line Rep1; Homo sapiens; RNA-Seq"
"SRR11919234"	"NextSeq 500 sequencing; GSM4589650: 40 nM SOP1812_6 h MIA PaCa2 cell line Rep3; Homo sapiens; RNA-Seq"
"SRR11919238"	"NextSeq 500 sequencing; GSM4589654: 40 nM SOP1812_24 h MIA PaCa2 cell line Rep1; Homo sapiens; RNA-Seq"
"SRR11919240"	"NextSeq 500 sequencing; GSM4589656: 40 nM SOP1812_24 h MIA PaCa2 cell line Rep3; Homo sapiens; RNA-Seq"
"SRR11919233"	"NextSeq 500 sequencing; GSM4589649: 40 nM SOP1812_6 h MIA PaCa2 cell line Rep2; Homo sapiens; RNA-Seq"
"SRR11919239"	"NextSeq 500 sequencing; GSM4589655: 40 nM SOP1812_24 h MIA PaCa2 cell line Rep2; Homo sapiens; RNA-Seq"
