accession	description
"SRR948909"	"Illumina HiSeq 2000 sequencing; tumor cell line DNA (SW48)"
"SRR2132485"	"Illumina HiSeq 2500 sequencing; GSM1835295: SW48; Homo sapiens; Bisulfite-Seq"
"SRR12768909"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-1"
"SRR12768907"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-3"
"SRR12768906"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-4"
"SRR12768904"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-6"
"SRR3228439"	"Illumina HiSeq 2500 sequencing; GSM2089697: SW48-p53WT_CTL; Homo sapiens; RNA-Seq"
"SRR3228441"	"Illumina HiSeq 2500 sequencing; GSM2089699: SW48-p53KO_CTL; Homo sapiens; RNA-Seq"
"SRR3228442"	"Illumina HiSeq 2500 sequencing; GSM2089700: SW48-p53KO_DOXO; Homo sapiens; RNA-Seq"
"SRR3228440"	"Illumina HiSeq 2500 sequencing; GSM2089698: SW48-p53WT_DOXO; Homo sapiens; RNA-Seq"
"SRR12768908"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-2"
"SRR12768905"	"BGISEQ-500 sequencing; RNA-Seq of Homo sapiens: SW48 Cell-5"
"SRR1818424"	"Illumina Genome Analyzer II sequencing; GSM1619028: SW48 DNA methylation; Homo sapiens; OTHER"
"SRR1818425"	"Illumina Genome Analyzer II sequencing; GSM1619028: SW48 DNA methylation; Homo sapiens; OTHER"
"SRR948925"	"Illumina HiSeq 2000 sequencing; 1:1 (2 component) pool of RL95-2, SW48"
"SRR8670708"	"Illumina HiSeq 2000 sequencing; WGS of SW48_LARGE_INTESTINE"
"SRR7778143"	"Illumina HiSeq 2000 sequencing; dsSTAT and then WSSV injection"
"SRR8636074"	"Illumina HiSeq 2000 sequencing; RainDance of SW48_LARGE_INTESTINE"
"SRR8633996"	"Illumina HiSeq 2000 sequencing; RRBS of SW48_LARGE_INTESTINE"
"SRR948929"	"Illumina HiSeq 2000 sequencing; 1:1:1 (3 component) pool of HCC1937, SW48, TUR"
"SRR7041714"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: 100% SW48 - Rep 2"
"SRR7041713"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: 100% SW48 - Rep 1"
"SRR11817625"	"Illumina HiSeq 2500 sequencing; RNA-Seq of germinating soybean seed at 48 hrs: G.soja"
"SRR7041717"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (1%) - Rep 2"
"SRR7041716"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (0.2%) - Rep 2"
"SRR7041711"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (5%) - Rep 1"
"SRR7041707"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (0.04%) - Rep 2"
"SRR948940"	"Illumina HiSeq 2000 sequencing; 1:1:1:1 (4 component) pool of HCC1599, HCT-15, NCI-H146, SW48"
"SRR7041715"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (0.2%) - Rep 1"
"SRR7041712"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (5%) - Rep 2"
"SRR7041708"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (1%) - Rep 1"
"SRR7041706"	"Illumina HiSeq 2500 sequencing; Targeted sequencing of cancer cell line dilutions: MOLM13 diluted into SW48 (0.04%) - Rep 1"
"SRR948946"	"Illumina HiSeq 2000 sequencing; 1:1:1:1:1 (5 component) pool of CCRF-CEM, HCC1599, NCI-H128, NCI-H2228, SW48"
"SRR948952"	"Illumina HiSeq 2000 sequencing; 1:1:1:1:1:1:1:1:1:1 (10 component) pool of A549, CCRF-CEM, HCT-15, NCI-H128, NCI-H146, NCI-H727, RL95-2, SW48, THP-1, TUR"
