accession	description
"SRR14634346"	"Illumina HiSeq 2000 sequencing; GSM5334935: T-84; Homo sapiens; miRNA-Seq"
"SRR4030102"	"Illumina HiSeq 2000 sequencing; Conch Spring, C T=80-84 metagenome"
"SRR1608134"	"Illumina HiSeq 2000 sequencing; GSM1521172: T-84; Homo sapiens; miRNA-Seq"
"SRR4030098"	"Illumina HiSeq 2000 sequencing; Octopus Spring Streamers T=80-84 metagenome"
"SRR6358143"	"NextSeq 500 sequencing; GSM2880111: Primary T cell 84; Homo sapiens; ATAC-seq"
"SRR13702355"	"HiSeq X Ten sequencing; GSM5080442: scATAC for Thymus cells, T-3-84; Mus musculus; ATAC-seq"
"SRR13398163"	"NextSeq 500 sequencing; GSM5012596: Th1 differentiated CD4 T Cell - eGFP_neg, Control, cell 84; Mus musculus; RNA-Seq"
"SRR13398067"	"NextSeq 500 sequencing; GSM5012980: Th17 differentiated CD4 T Cell - eGFP_neg, Control, cell 84; Mus musculus; RNA-Seq"
"SRR1959641"	"Illumina HiSeq 2000 paired end sequencing; Targeted Capture of Homo sapiens Pancreatic Ductal Adenocarcinoma sample PACA-84-T"
"SRR11003988"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003983"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003987"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003984"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003982"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003981"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003980"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003979"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003976"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003971"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003970"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
"SRR11003969"	"NextSeq 500 sequencing; RNA-seq of human malaria vaccine antigen specific T cells"
