accession	description
"SRR2966888"	"Illumina HiSeq 2000 sequencing; 22Rv1"
"SRR5661016"	"Illumina HiScanSQ sequencing; 22Rv1-tumor_01"
"SRR5661018"	"Illumina HiScanSQ sequencing; 22Rv1-tumor_03"
"SRR5661014"	"Illumina HiScanSQ sequencing; 22Rv1-Luc2"
"SRR5661017"	"Illumina HiScanSQ sequencing; 22Rv1-tumor_02"
"SRR11184872"	"Illumina HiSeq 3000 sequencing; GSM4340004: 22Rv1, ZFX ChIP in 22Rv1 - rep1; Homo sapiens; ChIP-Seq"
"SRR11184873"	"Illumina HiSeq 3000 sequencing; GSM4340005: 22Rv1, ZFX ChIP in 22Rv1 - rep2; Homo sapiens; ChIP-Seq"
"SRR11184874"	"Illumina HiSeq 3000 sequencing; GSM4340006: 22Rv1, ZFY ChIP in 22Rv1 - rep1; Homo sapiens; ChIP-Seq"
"SRR11184875"	"Illumina HiSeq 3000 sequencing; GSM4340007: 22Rv1, ZFY ChIP in 22Rv1 - rep2; Homo sapiens; ChIP-Seq"
"SRR11184876"	"Illumina HiSeq 3000 sequencing; GSM4340008: 22Rv1, ZNF711 ChIP in 22Rv1 - rep1; Homo sapiens; ChIP-Seq"
"SRR11184877"	"Illumina HiSeq 3000 sequencing; GSM4340009: 22Rv1, ZNF711 ChIP in 22Rv1 - rep2; Homo sapiens; ChIP-Seq"
"SRR12125156"	"NextSeq 500 sequencing; 22Rv1 Total RNA"
"SRR5661021"	"Illumina HiScanSQ sequencing; 22Rv1-M4-tumor_02"
"SRR5661019"	"Illumina HiScanSQ sequencing; 22Rv1-M4-tumor_01"
"SRR5661022"	"Illumina HiScanSQ sequencing; 22Rv1-M4-tumor_03"
"SRR12125174"	"NextSeq 500 sequencing; 22Rv1 IgG RIP-seq"
"SRR12125170"	"NextSeq 500 sequencing; 22Rv1 IgG RIP-seq"
"SRR5974459"	"NextSeq 500 sequencing; GSM2753412: 22RV1; Homo sapiens; RNA-Seq"
"SRR8635768"	"Illumina HiSeq 2000 sequencing; RainDance of 22RV1_PROSTATE"
"SRR8633633"	"Illumina HiSeq 2000 sequencing; RRBS of 22RV1_PROSTATE"
"SRR8639138"	"Illumina HiSeq 2000 sequencing; WGS of 22RV1_PROSTATE"
"SRR11539439"	"Illumina HiSeq 3000 sequencing; GSM4473377: 22RV1; Homo sapiens; RNA-Seq"
"SRR8980029"	"NextSeq 500 sequencing; GSM3737428: 22Rv1-Scr; Homo sapiens; RNA-Seq"
"SRR7750504"	"Illumina NovaSeq 6000 sequencing; GSM3356491: 22RV1 PAGE4; Homo sapiens; RNA-Seq"
"SRR1503207"	"Illumina HiSeq 2000 sequencing; GSM1423450: 22Rv1-DR_shGATA2a_R1; Homo sapiens; RNA-Seq"
"SRR1503209"	"Illumina HiSeq 2000 sequencing; GSM1423452: 22Rv1-DR_Control_R2; Homo sapiens; RNA-Seq"
"SRR1503211"	"Illumina HiSeq 2000 sequencing; GSM1423454: 22Rv1-DR_shGATA2b_R2; Homo sapiens; RNA-Seq"
"SRR1503213"	"Illumina HiSeq 2000 sequencing; GSM1423456: 22Rv1-DR_shGATA2a_R3; Homo sapiens; RNA-Seq"
"SRR8949977"	"NextSeq 500 sequencing; GSM3734773: 22RV1-DHT-DMSO_H3K27Ac; Homo sapiens; ChIP-Seq"
"SRR7750502"	"Illumina NovaSeq 6000 sequencing; GSM3356489: 22RV1 Vector; Homo sapiens; RNA-Seq"
"SRR8949974"	"NextSeq 500 sequencing; GSM3734770: 22RV1-DHT-DMSO_BRD4; Homo sapiens; ChIP-Seq"
"SRR1503206"	"Illumina HiSeq 2000 sequencing; GSM1423449: 22Rv1-DR_Control_R1; Homo sapiens; RNA-Seq"
"SRR1503208"	"Illumina HiSeq 2000 sequencing; GSM1423451: 22Rv1-DR_shGATA2b_R1; Homo sapiens; RNA-Seq"
"SRR1503210"	"Illumina HiSeq 2000 sequencing; GSM1423453: 22Rv1-DR_shGATA2a_R2; Homo sapiens; RNA-Seq"
"SRR1503212"	"Illumina HiSeq 2000 sequencing; GSM1423455: 22Rv1-DR_Control_R3; Homo sapiens; RNA-Seq"
"SRR1503214"	"Illumina HiSeq 2000 sequencing; GSM1423457: 22Rv1-DR_shGATA2b_R3; Homo sapiens; RNA-Seq"
"SRR13187177"	"NextSeq 500 sequencing; GSM4954566: 22Rv1-Control-2; Homo sapiens; RNA-Seq"
"SRR13187179"	"NextSeq 500 sequencing; GSM4954568: 22Rv1-CCS1477-1; Homo sapiens; RNA-Seq"
"SRR13187181"	"NextSeq 500 sequencing; GSM4954570: 22Rv1-CCS1477-3; Homo sapiens; RNA-Seq"
"SRR13187183"	"NextSeq 500 sequencing; GSM4954572: 22Rv1-JQ1-2; Homo sapiens; RNA-Seq"
"SRR5388817"	"Illumina HiSeq 4000 sequencing; GSM2559630: 22Rv1-Veh; Homo sapiens; RNA-Seq"
"SRR5388819"	"Illumina HiSeq 4000 sequencing; GSM2559632: 22Rv1-RE; Homo sapiens; RNA-Seq"
"SRR8980028"	"NextSeq 500 sequencing; GSM3737427: 22Rv1-GLYATL-sh1; Homo sapiens; RNA-Seq"
"SRR2094260"	"Illumina MiSeq paired end sequencing; RFX6 amplicon from 22Rv1 cell line"
"SRR13187176"	"NextSeq 500 sequencing; GSM4954565: 22Rv1-Control-1; Homo sapiens; RNA-Seq"
"SRR13187178"	"NextSeq 500 sequencing; GSM4954567: 22Rv1-Control-3; Homo sapiens; RNA-Seq"
"SRR13187180"	"NextSeq 500 sequencing; GSM4954569: 22Rv1-CCS1477-2; Homo sapiens; RNA-Seq"
"SRR13187182"	"NextSeq 500 sequencing; GSM4954571: 22Rv1-JQ1-1; Homo sapiens; RNA-Seq"
"SRR13187184"	"NextSeq 500 sequencing; GSM4954573: 22Rv1-JQ1-3; Homo sapiens; RNA-Seq"
"SRR8393356"	"NextSeq 500 sequencing; GSM3538637: 22RV1 Control 1; Homo sapiens; RNA-Seq"
"SRR8393357"	"NextSeq 500 sequencing; GSM3538638: 22RV1 Control 2; Homo sapiens; RNA-Seq"
"SRR8393358"	"NextSeq 500 sequencing; GSM3538639: 22RV1 Control 3; Homo sapiens; RNA-Seq"
"SRR8393359"	"NextSeq 500 sequencing; GSM3538640: 22RV1 CC115 1; Homo sapiens; RNA-Seq"
"SRR8393360"	"NextSeq 500 sequencing; GSM3538641: 22RV1 CC115 2; Homo sapiens; RNA-Seq"
"SRR9855315"	"Illumina HiSeq 4000 sequencing; RNaseR-seq of homo sapiens: 22Rv1 cells"
