accession	description
"SRR1301046"	"Illumina Genome Analyzer IIx sequencing; Kinome sequencing of NCI-H358 cell line"
"SRR10336786"	"HiSeq X Ten sequencing; RRBS-Seq of Lung adenocarcinoma cell line H358"
"SRR10336785"	"HiSeq X Ten sequencing; RRBS-Seq of Lung adenocarcinoma cell line H358 with overexpression of LSH"
"SRR11947125"	"Ion Torrent PGM sequencing; NCI-H358"
"SRR6361830"	"Illumina HiSeq 2000 sequencing; RNASEQ OF MULE H358: TESTES"
"SRR10172944"	"Illumina HiSeq 2500 sequencing; GSM4094252: H358 4h; Homo sapiens; RNA-Seq"
"SRR10172946"	"Illumina HiSeq 2500 sequencing; GSM4094254: H358 72h; Homo sapiens; RNA-Seq"
"SRR13364226"	"BGISEQ-500 sequencing; GSM5006344: H358 P rep1; Homo sapiens; RNA-Seq"
"SRR13364228"	"BGISEQ-500 sequencing; GSM5006346: H358 P rep3; Homo sapiens; RNA-Seq"
"SRR13364236"	"BGISEQ-500 sequencing; GSM5006354: H358-R rep2; Homo sapiens; RNA-Seq"
"SRR13366655"	"BGISEQ-500 sequencing; GSM5006356: H358 DMSO rep1; Homo sapiens; RNA-Seq"
"SRR13366656"	"BGISEQ-500 sequencing; GSM5006357: H358 DMSO rep2; Homo sapiens; RNA-Seq"
"SRR13366657"	"BGISEQ-500 sequencing; GSM5006358: H358 DMSO rep3; Homo sapiens; RNA-Seq"
"SRR13364227"	"BGISEQ-500 sequencing; GSM5006345: H358 P rep2; Homo sapiens; RNA-Seq"
"SRR13364235"	"BGISEQ-500 sequencing; GSM5006353: H358-R rep1; Homo sapiens; RNA-Seq"
"SRR13364237"	"BGISEQ-500 sequencing; GSM5006355: H358-R rep3; Homo sapiens; RNA-Seq"
"SRR10172943"	"Illumina HiSeq 2500 sequencing; GSM4094251: H358 0h; Homo sapiens; RNA-Seq"
"SRR10172945"	"Illumina HiSeq 2500 sequencing; GSM4094253: H358 24h; Homo sapiens; RNA-Seq"
"SRR3135960"	"Illumina HiSeq 2000 sequencing; GSM2051664: H358 Control; Homo sapiens; RNA-Seq"
"SRR3135961"	"Illumina HiSeq 2000 sequencing; GSM2051665: H358 + GNF5; Homo sapiens; RNA-Seq"
"SRR13192655"	"Illumina NovaSeq 6000 sequencing; GSM4955369: H358 Parent 1; Homo sapiens; RNA-Seq"
"SRR13192657"	"Illumina NovaSeq 6000 sequencing; GSM4955371: H358 Parent 3; Homo sapiens; RNA-Seq"
"SRR13192656"	"Illumina NovaSeq 6000 sequencing; GSM4955370: H358 Parent 2; Homo sapiens; RNA-Seq"
"SRR8457128"	"Illumina HiSeq 2000 sequencing; GSM3569551: 0A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457130"	"Illumina HiSeq 2000 sequencing; GSM3569553: 1A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR7830199"	"Illumina HiSeq 2500 sequencing; GSM3389669: H358-DMSO-T-1; Homo sapiens; RNA-Seq"
"SRR7830200"	"Illumina HiSeq 2500 sequencing; GSM3389670: H358-CDDP-T-1; Homo sapiens; RNA-Seq"
"SRR13192658"	"Illumina NovaSeq 6000 sequencing; GSM4955372: H358 BRG1 Knockout 1; Homo sapiens; RNA-Seq"
"SRR13192659"	"Illumina NovaSeq 6000 sequencing; GSM4955373: H358 BRG1 Knockout 2; Homo sapiens; RNA-Seq"
"SRR13192660"	"Illumina NovaSeq 6000 sequencing; GSM4955374: H358 BRG1 Knockout 3; Homo sapiens; RNA-Seq"
"SRR8457133"	"Illumina HiSeq 2000 sequencing; GSM3569556: 2B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457135"	"Illumina HiSeq 2000 sequencing; GSM3569558: 4B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457136"	"Illumina HiSeq 2000 sequencing; GSM3569559: 6A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457137"	"Illumina HiSeq 2000 sequencing; GSM3569560: 6B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457138"	"Illumina HiSeq 2000 sequencing; GSM3569561: 7A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457139"	"Illumina HiSeq 2000 sequencing; GSM3569562: 7B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457140"	"Illumina HiSeq 2000 sequencing; GSM3569563: 8A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457141"	"Illumina HiSeq 2000 sequencing; GSM3569564: 8B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457143"	"Illumina HiSeq 2000 sequencing; GSM3569566: 16B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457145"	"Illumina HiSeq 2000 sequencing; GSM3569568: 21B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457147"	"Illumina HiSeq 2000 sequencing; GSM3569570: 24B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457151"	"Illumina HiSeq 2000 sequencing; GSM3569574: 180B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457129"	"Illumina HiSeq 2000 sequencing; GSM3569552: 0B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457131"	"Illumina HiSeq 2000 sequencing; GSM3569554: 1B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457132"	"Illumina HiSeq 2000 sequencing; GSM3569555: 2A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457134"	"Illumina HiSeq 2000 sequencing; GSM3569557: 4A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457142"	"Illumina HiSeq 2000 sequencing; GSM3569565: 16A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457144"	"Illumina HiSeq 2000 sequencing; GSM3569567: 21A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457146"	"Illumina HiSeq 2000 sequencing; GSM3569569: 24A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457148"	"Illumina HiSeq 2000 sequencing; GSM3569571: 72A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457149"	"Illumina HiSeq 2000 sequencing; GSM3569572: 72B_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR8457150"	"Illumina HiSeq 2000 sequencing; GSM3569573: 180A_L3 H358 lung cells; Homo sapiens; RNA-Seq"
"SRR7830201"	"Illumina HiSeq 2500 sequencing; GSM3389671: H358-OXPT-T-1; Homo sapiens; RNA-Seq"
"SRR7830204"	"Illumina HiSeq 2500 sequencing; GSM3389674: H358-OXPT-T-2; Homo sapiens; RNA-Seq"
"SRR7830206"	"Illumina HiSeq 2500 sequencing; GSM3389676: H358-CDDP-T-3; Homo sapiens; RNA-Seq"
"SRR7830202"	"Illumina HiSeq 2500 sequencing; GSM3389672: H358-DMSO-T-2; Homo sapiens; RNA-Seq"
"SRR7830203"	"Illumina HiSeq 2500 sequencing; GSM3389673: H358-CDDP-T-2; Homo sapiens; RNA-Seq"
"SRR7830205"	"Illumina HiSeq 2500 sequencing; GSM3389675: H358-DMSO-T-3; Homo sapiens; RNA-Seq"
"SRR7830207"	"Illumina HiSeq 2500 sequencing; GSM3389677: H358-OXPT-T-3; Homo sapiens; RNA-Seq"
"SRR13192661"	"Illumina NovaSeq 6000 sequencing; GSM4955375: H358 BRM Knockout 1; Homo sapiens; RNA-Seq"
"SRR13192662"	"Illumina NovaSeq 6000 sequencing; GSM4955376: H358 BRM Knockout 2; Homo sapiens; RNA-Seq"
"SRR13192663"	"Illumina NovaSeq 6000 sequencing; GSM4955377: H358 BRM Knockout 3; Homo sapiens; RNA-Seq"
"SRR5859117"	"Illumina HiSeq 2500 sequencing; GSM2714486: H358-ctrl-D3 rep 3; Homo sapiens; RNA-Seq"
"SRR5859118"	"Illumina HiSeq 2500 sequencing; GSM2714487: H358-ctrl+D3 rep 1; Homo sapiens; RNA-Seq"
"SRR5859120"	"Illumina HiSeq 2500 sequencing; GSM2714489: H358-ctrl+D3 rep 3; Homo sapiens; RNA-Seq"
"SRR5859122"	"Illumina HiSeq 2500 sequencing; GSM2714491: H358-sh3-D3 rep 2; Homo sapiens; RNA-Seq"
"SRR5859123"	"Illumina HiSeq 2500 sequencing; GSM2714492: H358-sh3-D3 rep 3; Homo sapiens; RNA-Seq"
"SRR5859124"	"Illumina HiSeq 2500 sequencing; GSM2714493: H358-sh3+D3 rep 1; Homo sapiens; RNA-Seq"
"SRR5859126"	"Illumina HiSeq 2500 sequencing; GSM2714495: H358-sh3+D3 rep 3; Homo sapiens; RNA-Seq"
"SRR5859129"	"Illumina HiSeq 2500 sequencing; GSM2714498: H358-sh3-D5 rep 3; Homo sapiens; RNA-Seq"
"SRR5859130"	"Illumina HiSeq 2500 sequencing; GSM2714499: H358-sh3+D5 rep 1; Homo sapiens; RNA-Seq"
"SRR5859132"	"Illumina HiSeq 2500 sequencing; GSM2714501: H358-sh3+D5 rep 3; Homo sapiens; RNA-Seq"
"SRR5859115"	"Illumina HiSeq 2500 sequencing; GSM2714484: H358-ctrl-D3 rep 1; Homo sapiens; RNA-Seq"
"SRR5859116"	"Illumina HiSeq 2500 sequencing; GSM2714485: H358-ctrl-D3 rep 2; Homo sapiens; RNA-Seq"
"SRR5859119"	"Illumina HiSeq 2500 sequencing; GSM2714488: H358-ctrl+D3 rep 2; Homo sapiens; RNA-Seq"
"SRR5859121"	"Illumina HiSeq 2500 sequencing; GSM2714490: H358-sh3-D3 rep 1; Homo sapiens; RNA-Seq"
"SRR5859125"	"Illumina HiSeq 2500 sequencing; GSM2714494: H358-sh3+D3 rep 2; Homo sapiens; RNA-Seq"
"SRR5859127"	"Illumina HiSeq 2500 sequencing; GSM2714496: H358-sh3-D5 rep 1; Homo sapiens; RNA-Seq"
"SRR5859128"	"Illumina HiSeq 2500 sequencing; GSM2714497: H358-sh3-D5 rep 2; Homo sapiens; RNA-Seq"
"SRR5859131"	"Illumina HiSeq 2500 sequencing; GSM2714500: H358-sh3+D5 rep 2; Homo sapiens; RNA-Seq"
"SRR10326503"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326500"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326489"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326467"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326456"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326445"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326541"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326539"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326528"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326517"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326507"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326505"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326504"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326478"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326434"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326423"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR10326540"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: vehicle treated H358"
"SRR10326506"	"Illumina HiSeq 2000 sequencing; RNA-seq of human lung cancer cell line: MRTX849 treated H358"
"SRR8635716"	"Illumina HiSeq 2000 sequencing; RainDance of NCIH358_LUNG"
"SRR8634069"	"Illumina HiSeq 2000 sequencing; RRBS of NCIH358_LUNG"
"SRR8652079"	"Illumina HiSeq 2000 sequencing; WGS of NCIH358_LUNG"
"SRR8535098"	"Illumina MiSeq sequencing; GSM3592118: MeV-IC323-mCherry genomes passaged 7x on H358 cells (E7); Measles morbillivirus; RNA-Seq"
"SRR8535099"	"Illumina MiSeq sequencing; GSM3592119: MeV-IC323-mCherry genomes passaged 14x on H358 cells (E14); Measles morbillivirus; RNA-Seq"
"SRR8535102"	"Illumina MiSeq sequencing; GSM3592122: MeV-IC323-mCherry-uN genomes passaged 1x on H358 cells (E1-2nd); Measles morbillivirus; RNA-Seq"
"SRR8535103"	"Illumina MiSeq sequencing; GSM3592123: MeV-IC323-mCherry-uN genomes passaged 14x on H358 cells (E14-2nd); Measles morbillivirus; RNA-Seq"
"SRR8535097"	"Illumina MiSeq sequencing; GSM3592117: MeV-IC323-mCherry genomes passaged 7x on Granta cells and 7x on H358 cells (S14); Measles morbillivirus; RNA-Seq"
"ERR2287652"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR2287653"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR2287656"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR2287657"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR2287654"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR2287655"	"NextSeq 500 paired end sequencing; RNA-seq to investigate impact of treatment of KRAS mutant NCI-H358 lung adenocarcinoma cells with the multi-ERBB inhibitor Neratinib"
"ERR4781408"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781409"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781410"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781413"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781414"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781415"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781419"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781420"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781421"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781428"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781429"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
"ERR4781430"	"Illumina HiSeq 4000 sequencing; RNaseq of two human LUAD cell lines with knockout of STK11, KEAP1, both genes or no genes."
