accession	description
"SRR948886"	"Illumina HiSeq 2000 sequencing; tumor cell line DNA (A549)"
"SRR1105783"	"Illumina HiSeq 2000 sequencing; A549 211HCl"
"SRR1104100"	"Illumina HiSeq 2000 sequencing; A549 BF"
"SRR1105782"	"Illumina HiSeq 2000 sequencing; A549 BF211"
"SRR2995147"	"Illumina HiSeq 2500 sequencing; A549 CT1 RNA-seqs"
"SRR2996722"	"Illumina HiSeq 2500 sequencing; A549 CT1 RNA-seqs"
"SRR2996723"	"Illumina HiSeq 2500 sequencing; A549 CT1 RNA-seqs"
"ERR1844770"	"Illumina MiSeq sequencing; qiita_ptid_1651:10485.A549"
"SRR2097022"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting SF3B3"
"SRR2097024"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting GSAP"
"SRR2097026"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting SNRNP200"
"SRR2097028"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting ERAP2"
"SRR2097030"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting PCYT1B"
"SRR2097032"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting LSM1"
"SRR2097034"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting SREBF2"
"SRR2097016"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting SLC12A8"
"SRR2097019"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting FMN2"
"SRR2097021"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting CRISPLD2"
"SRR2097023"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting FN3K"
"SRR2097025"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting TCF12"
"SRR2097027"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting EOMES"
"SRR2097029"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting SLC52A1"
"SRR2097031"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting PTPN13"
"SRR2097033"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting MAP3K7CL"
"SRR6756002"	"Illumina HiSeq 2000 sequencing; RNAseq of cell line LC:A549"
"SRR2097015"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting PODNL1"
"SRR2097017"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting CACNA1E"
"SRR2097018"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting ABHD11"
"SRR2097020"	"Illumina MiSeq sequencing; A549 cells transfected with sgRNA targeting C14orf182"
"SRR1737731"	"Illumina HiSeq 2000 sequencing; A549 cells transcriptome reads"
"SRR7496612"	"Illumina HiSeq 4000 sequencing; 3-A549-NC"
"SRR7496610"	"Illumina HiSeq 4000 sequencing; 1-A549-NC"
"SRR7496608"	"Illumina HiSeq 4000 sequencing; 2-A549-TSPY1"
"SRR7496613"	"Illumina HiSeq 4000 sequencing; 2-A549-NC"
"SRR7496611"	"Illumina HiSeq 4000 sequencing; 3-A549-TSPY1"
"SRR7496609"	"Illumina HiSeq 4000 sequencing; 1-A549-TSPY1"
"SRR2997123"	"Illumina HiSeq 2500 sequencing; A549 cells treated with 50nM of bufalin for 3 hours"
"SRR2997140"	"Illumina HiSeq 2500 sequencing; A549 cells treated with 50nM of bufalin for 3 hours"
"SRR2997141"	"Illumina HiSeq 2500 sequencing; A549 cells treated with 50nM of bufalin for 3 hours"
"ERR5440769"	"GridION sequencing; Raw reads: a549-lc_7_46.artic_ont"
"SRR6664766"	"Illumina HiSeq 4000 sequencing; mNET-seq of A549 cells"
"SRR6664767"	"Illumina HiSeq 2500 sequencing; mNET-seq of A549 cells"
"SRR8366381"	"Illumina HiSeq 2500 sequencing; Avian influenza PB2 WT passaged in A549 cells"
"SRR3928197"	"NextSeq 500 paired end sequencing; Control (input) for H3.3 ChIP-seq in A549 Flag-H3F3A lung cancer cell"
"SRR6664763"	"Illumina HiSeq 2500 sequencing; Ser5P mNET-seq of A549 cells"
"SRR1042006"	"Illumina HiSeq 2000 paired end sequencing; Influenza Round 2 A549"
"SRR8366384"	"Illumina HiSeq 2500 sequencing; Avian influenza PB2 mutant library Rep1 passaged in A549 cells"
"SRR8366383"	"Illumina HiSeq 2500 sequencing; Avian influenza PB2 mutant library Rep2 passaged in A549 cells"
"SRR6664742"	"Illumina HiSeq 4000 sequencing; mNET-seq of influenza-infected A549 cells (A/Udorn/72)"
"SRR8366382"	"Illumina HiSeq 2500 sequencing; Avian influenza PB2 mutant library Rep3 passaged in A549 cells"
"SRR6664743"	"Illumina HiSeq 4000 sequencing; mNET-seq of influenza-infected A549 cells (A/Udorn/72 :: NS1delta99)"
"SRR3928247"	"Illumina HiSeq 2500 sequencing; RNA-seq of vector only A549 lung cancer"
"SRR7646090"	"HiSeq X Ten sequencing; MeDIP-Seq of human: A549 cell line in hypoxia"
"SRR7646089"	"HiSeq X Ten sequencing; MeDIP-Seq of human: A549 cell line in normoxia"
"SRR7646087"	"HiSeq X Ten sequencing; hMeDIP-Seq of human: A549 cell line in hypoxia"
"SRR7646086"	"HiSeq X Ten sequencing; hMeDIP-Seq of human: A549 cell line in normoxia"
"SRR7646088"	"HiSeq X Ten sequencing; RNA-Seq of human: A549 cell line in hypoxia"
"SRR7646083"	"HiSeq X Ten sequencing; RNA-Seq of human: A549 cell line in normoxia"
"SRR6664764"	"Illumina HiSeq 4000 sequencing; mNET-seq of influenza-infected A549 cells (A/WSN/33)"
"SRR6664756"	"Illumina HiSeq 4000 sequencing; mNET-seq of influenza-infected A549 cells (B/Florida/04/2006)"
"SRR6664757"	"Illumina HiSeq 4000 sequencing; mNET-seq of influenza-infected A549 cells (A/PR/8/34)"
"SRR8419452"	"Illumina HiSeq 4000 sequencing; iPSC-RPE RNA: Sample 045005d6-6ec1-467b-a549-174dd15822c8"
"SRR7734463"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (mock)"
"SRR7734462"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (mock)"
"SRR7734464"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (mock)"
"SRR7734461"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (mock)"
"SRR3928206"	"NextSeq 500 paired end sequencing; Flag-tagged H3.3 ChIP-seq in A549 Flag-H3F3A lung cacner cell"
"SRR3928249"	"Illumina HiSeq 2500 sequencing; RNA-seq of Flag-tagged H3F3A-overexpressed A549 lung cancer"
"SRR6664765"	"Illumina HiSeq 2500 sequencing; mNET-seq of influenza-infected A549 cells (A/WSN/33)"
"SRR7734505"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04-infected)"
"SRR7734469"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04-infected)"
"SRR7734467"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (WSN-infected)"
"SRR7734465"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (WSN-infected)"
"SRR7734506"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04-infected)"
"SRR7734470"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04-infected)"
"SRR7734468"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (WSN-infected)"
"SRR7734466"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (WSN-infected)"
"SRR6664762"	"Illumina HiSeq 2500 sequencing; Ser5P mNET-seq of influenza-infected A549 cells (A/WSN/33)"
"SRR7734509"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04::PB1-V43I -infected)"
"SRR7734503"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04::PB1-V43I -infected)"
"SRR7734510"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04::PB1-V43I -infected)"
"SRR7734504"	"NextSeq 500 sequencing; QuantSeq 3 mRNA-Seq of A549 cells (VN04::PB1-V43I -infected)"
"SRR9722032"	"Illumina HiSeq 4000 sequencing; Circular RNA-seq of lung adenocarcinoma cell line: HMGA2-overexpressing A549"
"SRR9722033"	"Illumina HiSeq 4000 sequencing; Circular RNA-seq of lung adenocarcinoma cell line: negative control A549"
"SRR7734529"	"NextSeq 500 sequencing; DirectViral sequencing of influenza virus promoter-containing small RNAs in A549 cells       (WSN-infected)"
