accession	description
"SRR11281328"	"NextSeq 500 sequencing; GSM4404672: Capan1; Homo sapiens; RNA-Seq"
"SRR12937407"	"Illumina HiSeq 4000 sequencing; GSM4873330: Capan1; Homo sapiens; RNA-Seq"
"SRR2970450"	"Illumina Genome Analyzer IIx sequencing; GSM1960847: Capan1 5C Rep1; Homo sapiens; OTHER"
"SRR2970452"	"Illumina Genome Analyzer IIx sequencing; GSM1960848: Capan1 5C Rep2; Homo sapiens; OTHER"
"SRR2970453"	"Illumina Genome Analyzer IIx sequencing; GSM1960848: Capan1 5C Rep2; Homo sapiens; OTHER"
"SRR2970451"	"Illumina Genome Analyzer IIx sequencing; GSM1960847: Capan1 5C Rep1; Homo sapiens; OTHER"
"SRR1736487"	"Illumina Genome Analyzer II sequencing; GSM1574298: CAPAN1.rep2; Homo sapiens; RNA-Seq"
"SRR1736486"	"Illumina Genome Analyzer II sequencing; GSM1574297: CAPAN1.rep1; Homo sapiens; RNA-Seq"
"SRR1736438"	"Illumina Genome Analyzer II sequencing; GSM1574242: H3K4me1.CAPAN1; Homo sapiens; ChIP-Seq"
"SRR2937523"	"Illumina Genome Analyzer II sequencing; GSM1574256: H3K4me3.CAPAN1; Homo sapiens; ChIP-Seq"
"SRR1736452"	"Illumina Genome Analyzer II sequencing; GSM1574264: H3K9me3.CAPAN1; Homo sapiens; ChIP-Seq"
"SRR4124886"	"Illumina HiSeq 2000 sequencing; GSM2301525: parental CAPAN1 cell line; Homo sapiens; RNA-Seq"
"SRR12638477"	"Illumina HiSeq 2500 sequencing; GSM4781005: Pancreatic cancer cells Capan1 - H3K27ac - untreated; Homo sapiens; ChIP-Seq"
"SRR5856800"	"Illumina HiSeq 2000 sequencing; GSM2714106: Capan1 Untreated (RNA Seq: Sample#10248); Homo sapiens; RNA-Seq"
"SRR5856801"	"Illumina HiSeq 2000 sequencing; GSM2714107: Capan1 Treated (RNA Seq: Sample#10249); Homo sapiens; RNA-Seq"
"SRR12638527"	"Illumina HiSeq 2500 sequencing; GSM4781055: Pancreatic cancer cells Capan1-  untreated RNA-Seq; Homo sapiens; RNA-Seq"
"SRR12638478"	"Illumina HiSeq 2500 sequencing; GSM4781006: Pancreatic cancer cells Capan1 - H3K27ac - untreated Input; Homo sapiens; ChIP-Seq"
