accession	description
"SRR2966876"	"Illumina HiSeq 2000 sequencing; DU145"
"SRR4009270"	"Illumina HiSeq 1000 sequencing; DU145"
"SRR12504880"	"Illumina NovaSeq 6000 sequencing; Du145 DP_002 cells"
"SRR12504878"	"Illumina NovaSeq 6000 sequencing; Du145 DN_001 cells"
"SRR12504877"	"Illumina NovaSeq 6000 sequencing; Du145 DN_002 cells"
"SRR12504881"	"Illumina NovaSeq 6000 sequencing; Du145 DP_001 cells"
"SRR12504879"	"Illumina NovaSeq 6000 sequencing; Du145 DP_003 cells"
"SRR12504876"	"Illumina NovaSeq 6000 sequencing; Du145 DN_003 cells"
"SRR6756019"	"Illumina HiSeq 2000 sequencing; RNAseq of cell line PR:DU_145"
"SRR7987126"	"NextSeq 500 sequencing; GSM3423999: DU145; Homo sapiens; ChIA-PET"
"SRR9596430"	"Illumina HiSeq 2500 sequencing; SRRM4 DM in DU145, 24h induction"
"SRR9596431"	"Illumina HiSeq 2500 sequencing; SRRM4 WT in DU145, 24h induction"
"SRR7987857"	"NextSeq 500 sequencing; GSM3424002: DU145 CTCF; Homo sapiens; ChIP-Seq"
"SRR7905059"	"Illumina HiSeq 2500 sequencing; GSM3402165: Du145; Homo sapiens; Bisulfite-Seq"
"SRR11539440"	"Illumina HiSeq 3000 sequencing; GSM4473378: Du145; Homo sapiens; RNA-Seq"
"SRR7987855"	"NextSeq 500 sequencing; GSM3424001: DU145 Input; Homo sapiens; ChIP-Seq"
"SRR7987859"	"NextSeq 500 sequencing; GSM3424003: DU145 H3K27ac; Homo sapiens; ChIP-Seq"
"SRR7643224"	"Ion Torrent Proton sequencing; GSM3318634: DU145-CTL_3; Homo sapiens; RNA-Seq"
"SRR7643226"	"Ion Torrent Proton sequencing; GSM3318636: DU145-SRRM4_2; Homo sapiens; RNA-Seq"
"SRR7643227"	"Ion Torrent Proton sequencing; GSM3318637: DU145-SRRM4_3; Homo sapiens; RNA-Seq"
"SRR629539"	"Illumina HiSeq 2000 sequencing; GSM1050102: DU145 [RRBS]; Homo sapiens; Bisulfite-Seq"
"SRR1503197"	"Illumina HiSeq 2000 sequencing; GSM1423440: DU145-DR_Control_R1; Homo sapiens; RNA-Seq"
