accession	description
"SRR1301044"	"Illumina Genome Analyzer IIx sequencing; Kinome sequencing of NCI-H460 cell line"
"SRR6667100"	"Illumina HiSeq 1500 sequencing; h460"
"SRR4009248"	"Illumina HiSeq 1000 sequencing; H460"
"SRR5689200"	"Illumina HiSeq 2500 sequencing; NCI-H460"
"SRR11947126"	"Ion Torrent PGM sequencing; NCI-H460"
"SRR10333586"	"Illumina HiSeq 2500 sequencing; GSM4135921: H460; Homo sapiens; RNA-Seq"
"SRR7726284"	"NextSeq 500 sequencing; GSM3349051: H460-ctrl_0; Homo sapiens; RNA-Seq"
"SRR7726286"	"NextSeq 500 sequencing; GSM3349051: H460-ctrl_0; Homo sapiens; RNA-Seq"
"SRR7726288"	"NextSeq 500 sequencing; GSM3349052: H460-KD_0; Homo sapiens; RNA-Seq"
"SRR7726290"	"NextSeq 500 sequencing; GSM3349052: H460-KD_0; Homo sapiens; RNA-Seq"
"SRR7726292"	"NextSeq 500 sequencing; GSM3349053: H460-ctrl_1; Homo sapiens; RNA-Seq"
"SRR7726293"	"NextSeq 500 sequencing; GSM3349053: H460-ctrl_1; Homo sapiens; RNA-Seq"
"SRR7726295"	"NextSeq 500 sequencing; GSM3349054: H460-KD_1; Homo sapiens; RNA-Seq"
"SRR7726297"	"NextSeq 500 sequencing; GSM3349054: H460-KD_1; Homo sapiens; RNA-Seq"
"SRR11550257"	"MinION sequencing; direct RNA-seq of human H460 cell line"
"SRR10333585"	"Illumina HiSeq 2500 sequencing; GSM4135921: H460; Homo sapiens; RNA-Seq"
"SRR7726283"	"NextSeq 500 sequencing; GSM3349051: H460-ctrl_0; Homo sapiens; RNA-Seq"
"SRR7726285"	"NextSeq 500 sequencing; GSM3349051: H460-ctrl_0; Homo sapiens; RNA-Seq"
"SRR7726287"	"NextSeq 500 sequencing; GSM3349052: H460-KD_0; Homo sapiens; RNA-Seq"
"SRR7726289"	"NextSeq 500 sequencing; GSM3349052: H460-KD_0; Homo sapiens; RNA-Seq"
"SRR7726291"	"NextSeq 500 sequencing; GSM3349053: H460-ctrl_1; Homo sapiens; RNA-Seq"
"SRR7726294"	"NextSeq 500 sequencing; GSM3349053: H460-ctrl_1; Homo sapiens; RNA-Seq"
"SRR7726296"	"NextSeq 500 sequencing; GSM3349054: H460-KD_1; Homo sapiens; RNA-Seq"
"SRR7726298"	"NextSeq 500 sequencing; GSM3349054: H460-KD_1; Homo sapiens; RNA-Seq"
"SRR10398708"	"Illumina HiSeq 2500 sequencing; GSM4148214: H460; Homo sapiens; RNA-Seq"
"SRR10887169"	"Illumina HiSeq 4000 sequencing; GSM4271400: H4K20me3_LC_NCI-H460; Homo sapiens; ChIP-Seq"
"SRR10333588"	"Illumina HiSeq 2500 sequencing; GSM4135922: mdR-H460; Homo sapiens; RNA-Seq"
"SRR10333589"	"Illumina HiSeq 2500 sequencing; GSM4135923: ldR-H460; Homo sapiens; RNA-Seq"
"SRR10887111"	"Illumina HiSeq 4000 sequencing; GSM4271342: H3K9me3_LC_NCI-H460; Homo sapiens; ChIP-Seq"
"SRR10333587"	"Illumina HiSeq 2500 sequencing; GSM4135922: mdR-H460; Homo sapiens; RNA-Seq"
"SRR10333590"	"Illumina HiSeq 2500 sequencing; GSM4135923: ldR-H460; Homo sapiens; RNA-Seq"
"SRR10887051"	"Illumina HiSeq 4000 sequencing; GSM4271282: H3K27ac_LC_NCI-H460; Homo sapiens; ChIP-Seq"
"SRR12727820"	"Illumina HiSeq 2500 sequencing; GSM4804871: H460 (1st); Homo sapiens; RNA-Seq"
"SRR12727825"	"Illumina HiSeq 2500 sequencing; GSM4804876: H460 DR; Homo sapiens; RNA-Seq"
"SRR12727827"	"Illumina HiSeq 2500 sequencing; GSM4804878: H460 (3rd); Homo sapiens; RNA-Seq"
