accession	description
"SRR8631599"	"HiSeq X Ten sequencing; Huh7-circ2176"
"SRR1265701"	"Illumina Genome Analyzer IIx sequencing; Huh7 WNV 48hr"
"SRR1265700"	"Illumina Genome Analyzer IIx sequencing; Huh7 DENV4 96hr"
"SRR1265702"	"Illumina Genome Analyzer IIx sequencing; Huh7 WNV 72hr"
"SRR6453206"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: EBOV-treated, 23h poi"
"SRR6453204"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: MARV-treated, 7h poi"
"SRR6453202"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: Mock-treated, 7h poi"
"SRR6453200"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: EBOV-treated, 3h poi"
"SRR6453207"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: MARV-treated, 23h poi"
"SRR6453205"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: EBOV-treated, 7h poi"
"SRR6453203"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: MARV-treated, 3h poi"
"SRR6453201"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: Mock-treated, 3h poi"
"SRR6453199"	"Illumina HiSeq 2000 sequencing; RNA-Seq of HuH7: Mock-treated, 23h poi"
"SRR10193762"	"Illumina HiSeq 2000 sequencing; RNA-seq of Huh7 infected by HEY1 shRNA"
"SRR10193763"	"Illumina HiSeq 2000 sequencing; RNA-seq of Huh7 infected by non-target control (NTC) shRNA"
"SRR8173610"	"HiSeq X Ten sequencing; Huh7"
"SRR10566484"	"Illumina NovaSeq 6000 sequencing; Huh7-Con"
"SRR10566483"	"Illumina NovaSeq 6000 sequencing; Huh7-GANT61"
"SRR9831085"	"Illumina HiSeq 2000 sequencing; Huh7 Sorafenib treatment"
"SRR10481978"	"Illumina NovaSeq 6000 sequencing; RNAseq Huh7 control"
"SRR10481979"	"Illumina NovaSeq 6000 sequencing; RNAseq Huh7 control"
"SRR10481977"	"Illumina NovaSeq 6000 sequencing; RNAseq Huh7 control"
"SRR7665329"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665328"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665326"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665324"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665322"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665320"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665318"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665317"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665315"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665313"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665311"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665307"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR9831088"	"Illumina HiSeq 2000 sequencing; Huh7 PI3Ki-beta treatment"
"SRR9831089"	"Illumina HiSeq 2000 sequencing; Huh7 PI3Ki-alpha treatment"
"SRR9831084"	"Illumina HiSeq 2000 sequencing; Huh7 DMSO treatment- control"
"SRR7665327"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665325"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665323"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665321"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665319"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665316"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
"SRR7665314"	"NextSeq 500 sequencing; RNAseq of ERFE on HuH7"
