accession	description
"SRR593158"	"Illumina HiSeq 2000 paired end sequencing; RNA-sequencing of KATO III , gastric cancer cell line"
"SRR3503893"	"Illumina HiSeq 2000 sequencing; Orientia tsutsugamushi comparative genomics and pan-genome analyses"
"SRR7109111"	"Illumina HiSeq 2000 sequencing; GSM3130741: KATO-III HNF4α_ChIP; Homo sapiens; ChIP-Seq"
"SRR7109113"	"Illumina HiSeq 2000 sequencing; GSM3130742: KATO-III INPUT; Homo sapiens; ChIP-Seq"
"SRR7109114"	"Illumina HiSeq 2000 sequencing; GSM3130742: KATO-III INPUT; Homo sapiens; ChIP-Seq"
"SRR7109112"	"Illumina HiSeq 2000 sequencing; GSM3130741: KATO-III HNF4α_ChIP; Homo sapiens; ChIP-Seq"
"SRR11008602"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008603"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008604"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008605"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008606"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008607"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008608"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008609"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008610"	"Illumina HiSeq 2000 sequencing; GSM4294255: KATO-III-H3K4me1; Homo sapiens; ChIP-Seq"
"SRR11008625"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
"SRR11008627"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
"SRR11008629"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
"SRR11008626"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
"SRR11008628"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
"SRR11008630"	"Illumina HiSeq 2000 sequencing; GSM4294260: KATO-III-Input-(control for H3K4me1); Homo sapiens; ChIP-Seq"
