accession	description
"SRR10156253"	"Illumina HiSeq 2000 sequencing; GSM4088772: KKU-213HG; Homo sapiens; RNA-Seq"
"SRR10156251"	"Illumina HiSeq 2000 sequencing; GSM4088771: KKU-213NG; Homo sapiens; RNA-Seq"
"SRR10156255"	"Illumina HiSeq 2000 sequencing; GSM4088773: KKU-213L5; Homo sapiens; RNA-Seq"
"SRR13215521"	"Illumina NovaSeq 6000 sequencing; GSM4962672: KKU-213A-Empty vector-rep1; Homo sapiens; RNA-Seq"
"SRR13215522"	"Illumina NovaSeq 6000 sequencing; GSM4962673: KKU-213A-Empty vector-rep2; Homo sapiens; RNA-Seq"
"SRR13215523"	"Illumina NovaSeq 6000 sequencing; GSM4962674: KKU-213A-EBF1 vector-rep1; Homo sapiens; RNA-Seq"
"SRR13215524"	"Illumina NovaSeq 6000 sequencing; GSM4962675: KKU-213A-EBF1 vector-rep2; Homo sapiens; RNA-Seq"
"SRR9442866"	"AB 310 Genetic Analyzer sequencing; Trace experiment for center NISC, GENOMIC, species CHLOROCEBUS AETHIOPS  KKU"
"SRR9089184"	"HiSeq X Ten sequencing; Sequencing of 550 cancer-related genes and selected introns of human cholangiocarcinoma cell line : KKU-156"
"SRR9089175"	"HiSeq X Ten sequencing; Sequencing of 550 cancer-related genes and selected introns of human cholangiocarcinoma cell line : KKU-214"
"SRR9089171"	"HiSeq X Ten sequencing; Sequencing of 550 cancer-related genes and selected introns of human cholangiocarcinoma cell line : KKU-055"
"SRR9089182"	"HiSeq X Ten sequencing; Sequencing of 550 cancer-related genes and selected introns of human cholangiocarcinoma cell line : KKU-100"
"SRR9089172"	"HiSeq X Ten sequencing; Sequencing of 550 cancer-related genes and selected introns of human cholangiocarcinoma cell line : KKU-213"
"SRR6896664"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR6896661"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR6896666"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR6896665"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR6896663"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR6896662"	"454 GS FLX sequencing; 16sRNA-seq"
"SRR8421257"	"Illumina MiSeq sequencing; KKU_BORDR_AmpliconBL2WK10_20170724"
"SRR8421207"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3WK1_20170724"
"SRR8421205"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL1WK1_20170724"
"SRR8421203"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2WK1_20170724"
"SRR8421201"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3WK1_20170724"
"SRR8421198"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3WK1_20170724"
"SRR8421196"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2WK1_20170724"
"SRR8421191"	"Illumina MiSeq sequencing; KKU_BORDR_RWK0_Amplicon_20170724"
"SRR8421187"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_GWK0_20170724"
"SRR8421186"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BWK0_20170724"
"SRR8421174"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1WK8_20170724"
"SRR8421172"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1WK10_20170724"
"SRR8421170"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R3WK8_20170724"
"SRR8421168"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R1WK8_20170724"
"SRR8421167"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2WK8_20170724"
"SRR8421165"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3WK8_20170724"
"SRR8421164"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y2WK8_20170724"
"SRR8421163"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3WK10_20170724"
"SRR8421161"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B2WK10_20170724"
"SRR8421256"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL3WK10_20170724"
"SRR8421208"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BL2WK1_20170724"
"SRR8421206"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B3WK1_20170724"
"SRR8421204"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1WK1_20170724"
"SRR8421202"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G2WK1_20170724"
"SRR8421200"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3WK1_20170724"
"SRR8421199"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1WK1_20170724"
"SRR8421197"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1WK1_20170724"
"SRR8421195"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_BLWK0_20170724"
"SRR8421193"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2WK1_20170724"
"SRR8421190"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_YWK0_20170724"
"SRR8421175"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y3WK10_20170724"
"SRR8421173"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G3WK8_20170724"
"SRR8421171"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_Y1WK8_20170724"
"SRR8421169"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_R2WK8_20170724"
"SRR8421166"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_G1WK8_20170724"
"SRR8421162"	"Illumina MiSeq sequencing; KKU_BORDR_Amplicon_B1WK10_20170724"
