accession	description
"SRR099373"	"Helicos HeliScope sequencing; LnCaP-0h_SMS"
"SRR2966654"	"Illumina HiSeq 2000 sequencing; LNCaP"
"SRR1037487"	"Illumina HiSeq 2000 sequencing; LNCaP-ID4"
"SRR1037486"	"Illumina HiSeq 2000 sequencing; LNCaP-NS"
"SRR2966856"	"Illumina HiSeq 2000 sequencing; LNCaP-MDV3100"
"SRR504986"	"Illumina Genome Analyzer II sequencing; RNA-seq of androgen dependent  LNCaP"
"SRR3100205"	"Illumina HiSeq 2500 sequencing; RNA-seq of Vehicle treated Homo sapiens LNCaP cell"
"SRR3100204"	"Illumina HiSeq 2500 sequencing; RNA-seq of M4N treated Homo sapiens LNCaP cell"
"SRR3502979"	"Illumina HiSeq 2000 sequencing; AGO-CLIP-LNCaP-MDV_A"
"SRR3502981"	"Illumina HiSeq 2000 sequencing; AGO-CLIP-LNCaP-MDV_B"
"SRR526900"	"Illumina HiSeq 2000 sequencing; Illumina deep sequencing reads corresponding to XMRV from the LNCaP prostate cancer cell line"
"SRR504989"	"Illumina Genome Analyzer II sequencing; RNA-seq of androgen independent LNCaP-AI-F"
"SRR1977632"	"Illumina HiSeq 2000 sequencing; Whole Genome Sequencing of prostate cancer cell lines"
"SRR522092"	"Illumina Genome Analyzer IIx sequencing; GSM967519: LNCaP s7_HCT20633-Lncap-15; Homo sapiens; RNA-Seq"
"SRR522093"	"Illumina Genome Analyzer IIx sequencing; GSM967520: LNCaP s8_HCT20634-Lncap-15; Homo sapiens; RNA-Seq"
"SRR522091"	"Illumina Genome Analyzer IIx sequencing; GSM967518: LNCaP s1_HCT20627-Lncap-14; Homo sapiens; RNA-Seq"
"SRR522094"	"Illumina Genome Analyzer IIx sequencing; GSM967521: LNCaP s2_HCT20628-Lncap-14; Homo sapiens; RNA-Seq"
"SRR12125173"	"NextSeq 500 sequencing; LNCaP IgG RIP-seq"
"SRR12125155"	"NextSeq 500 sequencing; LNCaP IgG RIP-seq"
"SRR6335585"	"Illumina HiSeq 2000 sequencing; AR-ChIP-LNCaP"
"SRR6335584"	"Illumina HiSeq 2000 sequencing; AR-ChIP-LNCaP"
"SRR6335583"	"Illumina HiSeq 2000 sequencing; AR-ChIP-LNCaP"
"SRR6335582"	"Illumina HiSeq 2000 sequencing; AR-ChIP-LNCaP"
