accession	description
"SRR7415565"	"NextSeq 500 sequencing; Exome sequencing of FaDu"
"SRR7415564"	"Illumina HiSeq 2500 sequencing; RNA sequencing of FaDu"
"SRR7379900"	"Illumina MiSeq sequencing; GSM3207757: FaDu/7.4 rep1; Homo sapiens; RNA-Seq"
"SRR7379902"	"Illumina MiSeq sequencing; GSM3207757: FaDu/7.4 rep1; Homo sapiens; RNA-Seq"
"SRR7379903"	"Illumina MiSeq sequencing; GSM3207757: FaDu/7.4 rep1; Homo sapiens; RNA-Seq"
"SRR7379905"	"Illumina MiSeq sequencing; GSM3207758: FaDu/7.4 rep2; Homo sapiens; RNA-Seq"
"SRR7379908"	"Illumina MiSeq sequencing; GSM3207759: FaDu/7.4 rep3; Homo sapiens; RNA-Seq"
"SRR7379910"	"Illumina MiSeq sequencing; GSM3207759: FaDu/7.4 rep3; Homo sapiens; RNA-Seq"
"SRR7379913"	"Illumina MiSeq sequencing; GSM3207760: FaDu/6.5 rep1; Homo sapiens; RNA-Seq"
"SRR7379914"	"Illumina MiSeq sequencing; GSM3207760: FaDu/6.5 rep1; Homo sapiens; RNA-Seq"
"SRR7379917"	"Illumina MiSeq sequencing; GSM3207761: FaDu/6.5 rep2; Homo sapiens; RNA-Seq"
"SRR7379918"	"Illumina MiSeq sequencing; GSM3207761: FaDu/6.5 rep2; Homo sapiens; RNA-Seq"
"SRR7379920"	"Illumina MiSeq sequencing; GSM3207762: FaDu/6.5 rep3; Homo sapiens; RNA-Seq"
"SRR7379922"	"Illumina MiSeq sequencing; GSM3207762: FaDu/6.5 rep3; Homo sapiens; RNA-Seq"
"SRR9925466"	"NextSeq 500 sequencing; GSM4017095: FaDu Control 1; Homo sapiens; RNA-Seq"
"SRR9925472"	"NextSeq 500 sequencing; GSM4017101: FaDu Control 2; Homo sapiens; RNA-Seq"
"SRR9925478"	"NextSeq 500 sequencing; GSM4017107: FaDu Control 3; Homo sapiens; RNA-Seq"
"SRR7379901"	"Illumina MiSeq sequencing; GSM3207757: FaDu/7.4 rep1; Homo sapiens; RNA-Seq"
"SRR7379904"	"Illumina MiSeq sequencing; GSM3207758: FaDu/7.4 rep2; Homo sapiens; RNA-Seq"
"SRR7379906"	"Illumina MiSeq sequencing; GSM3207758: FaDu/7.4 rep2; Homo sapiens; RNA-Seq"
"SRR7379907"	"Illumina MiSeq sequencing; GSM3207758: FaDu/7.4 rep2; Homo sapiens; RNA-Seq"
"SRR7379909"	"Illumina MiSeq sequencing; GSM3207759: FaDu/7.4 rep3; Homo sapiens; RNA-Seq"
"SRR7379911"	"Illumina MiSeq sequencing; GSM3207759: FaDu/7.4 rep3; Homo sapiens; RNA-Seq"
"SRR7379912"	"Illumina MiSeq sequencing; GSM3207760: FaDu/6.5 rep1; Homo sapiens; RNA-Seq"
"SRR7379915"	"Illumina MiSeq sequencing; GSM3207760: FaDu/6.5 rep1; Homo sapiens; RNA-Seq"
"SRR7379916"	"Illumina MiSeq sequencing; GSM3207761: FaDu/6.5 rep2; Homo sapiens; RNA-Seq"
"SRR7379919"	"Illumina MiSeq sequencing; GSM3207761: FaDu/6.5 rep2; Homo sapiens; RNA-Seq"
"SRR7379921"	"Illumina MiSeq sequencing; GSM3207762: FaDu/6.5 rep3; Homo sapiens; RNA-Seq"
"SRR7379923"	"Illumina MiSeq sequencing; GSM3207762: FaDu/6.5 rep3; Homo sapiens; RNA-Seq"
"SRR9925467"	"NextSeq 500 sequencing; GSM4017096: FaDu HGF 1; Homo sapiens; RNA-Seq"
"SRR9925473"	"NextSeq 500 sequencing; GSM4017102: FaDu HGF 2; Homo sapiens; RNA-Seq"
"SRR9925479"	"NextSeq 500 sequencing; GSM4017108: FaDu HGF 3; Homo sapiens; RNA-Seq"
"SRR5631183"	"Illumina HiSeq 2000 sequencing; GSM2644524: FaDu-exosome; Homo sapiens; miRNA-Seq"
"SRR11319292"	"Illumina NovaSeq 6000 sequencing; GSM4416560: Fadu Control Replicate 1 CRISPR; Homo sapiens; OTHER"
"SRR11319293"	"Illumina NovaSeq 6000 sequencing; GSM4416561: Fadu Control Replicate 2 CRISPR; Homo sapiens; OTHER"
"SRR11319294"	"Illumina NovaSeq 6000 sequencing; GSM4416562: Fadu Control Replicate 3 CRISPR; Homo sapiens; OTHER"
"SRR11319295"	"Illumina NovaSeq 6000 sequencing; GSM4416563: Fadu Irradiated Replicate 1 CRISPR; Homo sapiens; OTHER"
"SRR11319296"	"Illumina NovaSeq 6000 sequencing; GSM4416564: Fadu Irradiated Replicate 2 CRISPR; Homo sapiens; OTHER"
"SRR11319297"	"Illumina NovaSeq 6000 sequencing; GSM4416565: Fadu Irradiated Replicate 3 CRISPR; Homo sapiens; OTHER"
"SRR1732016"	"Illumina Genome Analyzer II sequencing; GSM1571151: FadU sphere cells; Homo sapiens; miRNA-Seq"
"SRR1732015"	"Illumina Genome Analyzer II sequencing; GSM1571150: FadU parental cells; Homo sapiens; miRNA-Seq"
"SRR12681392"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR12681389"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR12681391"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR12681390"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR12681388"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR12681387"	"Illumina NovaSeq 6000 sequencing; RNA-seq of  EIF3B knockdown and Control Fadu cells"
"SRR11319298"	"Illumina NovaSeq 6000 sequencing; GSM4416566: FaDu WT 1 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319299"	"Illumina NovaSeq 6000 sequencing; GSM4416567: FaDu WT 2 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319301"	"Illumina NovaSeq 6000 sequencing; GSM4416569: FaDu KO 1 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319303"	"Illumina NovaSeq 6000 sequencing; GSM4416571: FaDu KO 3 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319306"	"Illumina NovaSeq 6000 sequencing; GSM4416574: FaDu IrrWT 3 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319308"	"Illumina NovaSeq 6000 sequencing; GSM4416576: FaDu IrrKO 2 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319300"	"Illumina NovaSeq 6000 sequencing; GSM4416568: FaDu WT 3 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319302"	"Illumina NovaSeq 6000 sequencing; GSM4416570: FaDu KO 2 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319304"	"Illumina NovaSeq 6000 sequencing; GSM4416572: FaDu IrrWT 1 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319305"	"Illumina NovaSeq 6000 sequencing; GSM4416573: FaDu IrrWT 2 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319307"	"Illumina NovaSeq 6000 sequencing; GSM4416575: FaDu IrrKO 1 RNA-seq; Homo sapiens; RNA-Seq"
"SRR11319309"	"Illumina NovaSeq 6000 sequencing; GSM4416577: FaDu IrrKO 3 RNA-seq; Homo sapiens; RNA-Seq"
"SRR8616215"	"Illumina HiSeq 2500 sequencing; RNAseq of FADU_UPPER_AERODIGESTIVE_TRACT"
"ERR2107345"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
"ERR2107346"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
"ERR2107347"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
"ERR2107349"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
"ERR2107350"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
"ERR2107348"	"Illumina MiSeq paired end sequencing; Genomic profiling of the FaDu cell line and derived subclones using amplicon-based targeted sequencing"
