accession	description
"SRR2966868"	"Illumina HiSeq 2000 sequencing; PC3"
"SRR988167"	"Illumina Genome Analyzer II sequencing; PC3"
"SRR12199316"	"454 GS sequencing; PC3.fq"
"SRR10233508"	"Illumina MiSeq sequencing; PC3"
"SRR9159644"	"Illumina HiSeq 3000 sequencing; PC3-WT.bam"
"SRR12876603"	"HiSeq X Ten sequencing; PC3"
"SRR7244760"	"Illumina HiSeq 2500 sequencing; gut microbial community PC3"
"SRR9159623"	"Illumina HiSeq 3000 sequencing; PC3-311Cas9.bam"
"SRR6730047"	"Illumina HiSeq 3000 sequencing; PC3-TS-C"
"SRR2966869"	"Illumina HiSeq 2000 sequencing; PC3-miR-148a"
"SRR6730045"	"Illumina HiSeq 3000 sequencing; PC3-TS-A"
"SRR3502977"	"Illumina HiSeq 2000 sequencing; AGO-CLIP-PC3-miR148"
"SRR6730046"	"Illumina HiSeq 3000 sequencing; PC3-TS-B"
"SRR5790185"	"Illumina MiSeq sequencing; WGS of homo sapiens using in-tube control: PC3 prostate cancer line, replicate 2"
"SRR5790168"	"Illumina MiSeq sequencing; WGS of homo sapiens using Gel-seq device: PC3 prostate cancer line, replicate 1"
"SRR5790166"	"Illumina MiSeq sequencing; WGS of homo sapiens using Gel-seq device: PC3 prostate cancer line, replicate 2"
"SRR5790164"	"Illumina MiSeq sequencing; WGS of homo sapiens using in-tube control: PC3 prostate cancer line, replicate 1"
"SRR5790184"	"Illumina MiSeq sequencing; RNA-Seq of homo sapiens using in-tube control: PC3 prostate cancer line, replicate 2"
"SRR5790169"	"Illumina MiSeq sequencing; RNA-Seq of homo sapiens using Gel-seq device: PC3 prostate cancer line, replicate 1"
"SRR5790167"	"Illumina MiSeq sequencing; RNA-Seq of homo sapiens using Gel-seq device: PC3 prostate cancer line, replicate 2"
"SRR5790165"	"Illumina MiSeq sequencing; RNA-Seq of homo sapiens using in-tube control: PC3 prostate cancer line, replicate 1"
"SRR2970478"	"Illumina MiSeq sequencing; PC3"
"SRR2970536"	"Illumina MiSeq sequencing; PC3"
"SRR6448422"	"Illumina MiSeq sequencing; PC3"
"SRR10069552"	"Illumina MiSeq sequencing; PC3"
"SRR4009277"	"Illumina HiSeq 1000 sequencing; PC3"
"SRR10015098"	"Illumina NovaSeq 6000 sequencing; PC3"
"SRR10202983"	"Illumina HiSeq 2500 sequencing; PC3"
"SRR522117"	"Illumina Genome Analyzer IIx sequencing; GSM967544: PC3 s4_HCT20630-PC3-14; Homo sapiens; RNA-Seq"
"SRR522116"	"Illumina Genome Analyzer IIx sequencing; GSM967543: PC3 s3_HCT20629-pc3-14; Homo sapiens; RNA-Seq"
"SRR522115"	"Illumina Genome Analyzer IIx sequencing; GSM967542: PC3 s2-HCT20636-PC3-15; Homo sapiens; RNA-Seq"
"SRR522114"	"Illumina Genome Analyzer IIx sequencing; GSM967541: PC3 s1-HCT20635-PC3-15; Homo sapiens; RNA-Seq"
"SRR5047166"	"Illumina Genome Analyzer II sequencing; PC3"
"SRR8236747"	"Illumina HiSeq 2500 sequencing; WGS for PC3"
"SRR14099088"	"Illumina HiSeq 2500 sequencing; PBS(2)-PC3"
"SRR14099083"	"Illumina HiSeq 2500 sequencing; SGN1(1)-PC3"
"SRR12894087"	"Illumina NovaSeq 6000 sequencing; PC3 DP_001 cells"
"SRR12894085"	"Illumina NovaSeq 6000 sequencing; PC3 DP_003 cells"
"SRR12894083"	"Illumina NovaSeq 6000 sequencing; PC3 DN_002 cells"
"SRR12894082"	"Illumina NovaSeq 6000 sequencing; PC3 DN_003 cells"
"SRR14099081"	"Illumina HiSeq 2500 sequencing; SGN1(3)-PC3"
"SRR14099073"	"Illumina HiSeq 2500 sequencing; PBS(1)-PC3"
"SRR14099087"	"Illumina HiSeq 2500 sequencing; PBS(3)-PC3"
"SRR14099082"	"Illumina HiSeq 2500 sequencing; SGN1(2)-PC3"
"SRR12894086"	"Illumina NovaSeq 6000 sequencing; PC3 DP_002 cells"
"SRR12894084"	"Illumina NovaSeq 6000 sequencing; PC3 DN_001 cells"
"SRR2937347"	"Illumina HiSeq 2500 sequencing; Coral metagenome datasets"
"SRR8236760"	"Illumina HiSeq 4000 sequencing; ATACseq for PC3 rep2"
"SRR8236752"	"Illumina NovaSeq 6000 sequencing; RNAseq for PC3 rep1"
"SRR8236759"	"Illumina HiSeq 4000 sequencing; ATACseq for PC3 rep1"
"SRR8236753"	"Illumina NovaSeq 6000 sequencing; RNAseq for PC3 rep2"
"SRR14099086"	"Illumina HiSeq 2500 sequencing; VNP-V(1)-PC3"
"SRR314991"	"Illumina Genome Analyzer II sequencing; GSM738816: PC3 Input"
"SRR314993"	"Illumina Genome Analyzer II sequencing; GSM738817: PC3 ETV4"
"SRR14099085"	"Illumina HiSeq 2500 sequencing; VNP-V(2)-PC3"
"SRR14099084"	"Illumina HiSeq 2500 sequencing; VNP-V(3)-PC3"
"SRR314992"	"Illumina Genome Analyzer II sequencing; GSM738816: PC3 Input"
"SRR314994"	"Illumina Genome Analyzer II sequencing; GSM738818: PC3 JUND"
"SRR11423733"	"Illumina HiSeq 2500 sequencing; GSM4432694: PC3; Piaractus mesopotamicus; miRNA-Seq"
"SRR1379693"	"Illumina HiSeq 2000 sequencing; GSM1410439: PC3; Homo sapiens; ncRNA-Seq"
"SRR7050944"	"NextSeq 500 sequencing; GSM3106846: Input PC3; Homo sapiens; ChIP-Seq"
"SRR7050945"	"NextSeq 500 sequencing; GSM3106846: Input PC3; Homo sapiens; ChIP-Seq"
"SRR11281336"	"NextSeq 500 sequencing; GSM4404680: BX-PC3; Homo sapiens; RNA-Seq"
"SRR3036617"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036618"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036620"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036621"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036623"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036625"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036629"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036632"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036635"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036637"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036639"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036641"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR1379691"	"Illumina HiSeq 2000 sequencing; GSM1410439: PC3; Homo sapiens; ncRNA-Seq"
"SRR1379692"	"Illumina HiSeq 2000 sequencing; GSM1410439: PC3; Homo sapiens; ncRNA-Seq"
"SRR1379694"	"Illumina HiSeq 2000 sequencing; GSM1410439: PC3; Homo sapiens; ncRNA-Seq"
"SRR6392085"	"Illumina HiSeq 3000 sequencing; GSM2895305: pC3; Mus musculus; RNA-Seq"
"SRR6324445"	"Illumina HiSeq 2500 sequencing; GSM2865665: PC3; Homo sapiens; RNA-Seq"
"SRR11539441"	"Illumina HiSeq 3000 sequencing; GSM4473379: PC3; Homo sapiens; RNA-Seq"
"SRR3036769"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036772"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036774"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR10310347"	"BGISEQ-500 sequencing; GSM4130780: PC3 control_replicate2; Homo sapiens; RNA-Seq"
"SRR3036619"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036622"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036624"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036626"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036628"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036630"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036631"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
"SRR3036633"	"Illumina MiSeq sequencing; RNA-Seq of human cell lines:PC3"
