accession	description
"SRR6730049"	"Illumina HiSeq 3000 sequencing; VCap--TS-B"
"SRR6730048"	"Illumina HiSeq 3000 sequencing; VCaP-TS-A"
"ERR5000471"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR5000472"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR5000473"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR5000475"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR5000474"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR5000476"	"NextSeq 500 sequencing; Stable over expression of the SPOP-substrate ZMYND11 in VCaP cells"
"ERR2752435"	"NextSeq 500 sequencing; Stable overexpression and knockdown of mutant- or wild type SPOP in VCaP prostate cancer cells"
"ERR2752436"	"NextSeq 500 sequencing; Stable overexpression and knockdown of mutant- or wild type SPOP in VCaP prostate cancer cells"
"SRR099317"	"Helicos HeliScope sequencing; SMS_VCaP"
"SRR776587"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Project"
"SRR776593"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Project"
"SRR776597"	"Illumina HiSeq 2500 sequencing; VCaP Xenograft Project"
"SRR776601"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Project"
"SRR776592"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Project"
"SRR776594"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Project"
"SRR776600"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Experiment"
"SRR776602"	"Illumina HiSeq 2000 sequencing; VCaP Xenograft Experiment"
"SRR14263344"	"PromethION sequencing; VCaP for circFL-seq: FL_V1"
"SRR4341006"	"Illumina HiSeq 2000 sequencing; VCaP Targeted Genome Capture"
"SRR349765"	"Illumina Genome Analyzer sequencing; GSM801011: VCaP AR DHT 4h"
"SRR11389523"	"NextSeq 500 sequencing; cfDNA of VCAP cell culture supernatant"
"SRR11389522"	"NextSeq 500 sequencing; cfDNA of VCAP cell culture supernatant"
"SRR14263352"	"HiSeq X Ten sequencing; VCaP for RNA-seq: RS_V1"
"SRR7987122"	"NextSeq 500 sequencing; GSM3423997: VCaP; Homo sapiens; ChIA-PET"
"SRR6894066"	"Illumina HiSeq 2000 sequencing; RNA-seq of VCaP cells.  NT"
"SRR6894065"	"Illumina HiSeq 2000 sequencing; RNA-seq of VCaP cells. NT"
"SRR10408998"	"NextSeq 500 sequencing; GSM4152127: VCaP: Pol2_siCtrl_Ctrl1; Homo sapiens; ChIP-Seq"
"SRR10409000"	"NextSeq 500 sequencing; GSM4152128: VCaP: Pol2_siCtrl_Ctrl2; Homo sapiens; ChIP-Seq"
"SRR10409002"	"NextSeq 500 sequencing; GSM4152129: VCaP: Pol2_siCtrl_HS1; Homo sapiens; ChIP-Seq"
"SRR10409004"	"NextSeq 500 sequencing; GSM4152130: VCaP: Pol2_siCtrl_HS2; Homo sapiens; ChIP-Seq"
"SRR10409006"	"NextSeq 500 sequencing; GSM4152131: VCaP: Pol2_siUBC9_Ctrl1; Homo sapiens; ChIP-Seq"
"SRR10409008"	"NextSeq 500 sequencing; GSM4152132: VCaP: Pol2_siUBC9_Ctrl2; Homo sapiens; ChIP-Seq"
"SRR10409010"	"NextSeq 500 sequencing; GSM4152133: VCaP: Pol2_siUBC9_HS1; Homo sapiens; ChIP-Seq"
