accession	description
"SRR13693817"	"Illumina MiSeq sequencing; RNA-Seq of Saccharibacter: adult suspected for bladder cancer"
"SRR13693825"	"Illumina MiSeq sequencing; RNA-Seq of Saccharibacter: adult suspected for bladder cancer"
"SRR8569191"	"Illumina HiSeq 2500 sequencing; CRC-110-Non-cancer"
"SRR6650071"	"NextSeq 500 sequencing; Non-coding RNAs in exosomes from Normal and Cancer Fibroblasts in colorectal cancer"
"SRR6650070"	"NextSeq 500 sequencing; Non-coding RNAs in exosomes from Normal and Cancer Fibroblasts in colorectal cancer"
"SRR6650069"	"NextSeq 500 sequencing; Non-coding RNAs in exosomes from Normal and Cancer Fibroblasts in colorectal cancer"
"SRR6650068"	"NextSeq 500 sequencing; Non-coding RNAs in exosomes from Normal and Cancer Fibroblasts in colorectal cancer"
"SRR8902121"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902119"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902118"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902109"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902102"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902101"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902098"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902076"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902014"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902009"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902013"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902075"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902058"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902033"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902015"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902116"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902111"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
"SRR8902099"	"Illumina HiSeq 2500 sequencing; Gastric microbiota of gastric non-cancer tissue"
