accession	description
"SRR1799566"	"Illumina HiSeq 2000 sequencing; Matched normal of T12"
"SRR1614310"	"Illumina Genome Analyzer IIx sequencing; Matched normal of T11"
"SRR1614306"	"Illumina Genome Analyzer IIx sequencing; Matched normal of T6"
"SRR10915371"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915367"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915364"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915362"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915360"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915356"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915354"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915351"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915349"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915345"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915343"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915341"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915339"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915337"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915335"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915333"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915331"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915329"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915323"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915321"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915319"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915317"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915316"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915318"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915315"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915372"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915370"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915368"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915366"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915365"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915363"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
"SRR10915361"	"Illumina HiSeq 2500 sequencing; WXS matched normal"
