accession	description
"SRR8581231"	"Illumina NovaSeq 6000 sequencing; WES of bile duct cancer organoids (early)"
"SRR922334"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NR104&quot;"
"SRR922346"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TR104&quot;"
"SRR922342"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NU44   &quot;"
"SRR922348"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TU44&quot;"
"SRR922341"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NT26  &quot;"
"SRR922347"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TT26&quot;"
"SRR922345"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NW40 &quot;"
"SRR922340"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO99T  &quot;"
"SRR922343"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NW12  &quot;"
"SRR922349"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TW12     &quot;"
"SRR922344"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-NW39  &quot;"
"SRR922350"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TW39&quot;"
"SRR922335"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO85N  &quot;"
"SRR922337"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO85T&quot;"
"SRR922336"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO85NR &quot;"
"SRR922338"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO85TR &quot;"
"SRR922351"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-TW40&quot;"
"SRR922339"	"Illumina Genome Analyzer IIx paired end sequencing; &quot;Exome sequencing of human bile duct cancer, Opisthorchis viverrini related cholangiocarcinoma (CCA)-BO99N  &quot;"
