accession	description
"SRR3151769"	"Illumina HiSeq 2000 sequencing; GSM2055798: BLCA; Homo sapiens; RNA-Seq"
"SRR7257073"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680501_Illumina_P5-Telef_P7-Cobic&apos; containing sample &apos;BLCA-015_N&apos; from subject &apos;BLCA-015&apos;"
"SRR7257075"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680493_Illumina_P5-Kalex_P7-Hawix&apos; containing sample &apos;BLCA-007_T&apos; from subject &apos;BLCA-007&apos;"
"SRR7257078"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680525_Illumina_P5-Diweh_P7-Peten&apos; containing sample &apos;BLCA-001_N&apos; from subject &apos;BLCA-001&apos;"
"SRR7257081"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680491_Illumina_P5-Hikaz_P7-Keloj&apos; containing sample &apos;BLCA-009_N&apos; from subject &apos;BLCA-009&apos;"
"SRR7257083"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680551_Illumina_P5-Popal_P7-Xezit&apos; containing sample &apos;BLCA-006_TA&apos; from subject &apos;BLCA-006&apos;"
"SRR7257092"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680502_Illumina_P5-Lipof_P7-Botol&apos; containing sample &apos;BLCA-007_N&apos; from subject &apos;BLCA-007&apos;"
"SRR7257076"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680500_Illumina_P5-Pecef_P7-Fofeb&apos; containing sample &apos;BLCA-009_T&apos; from subject &apos;BLCA-009&apos;"
"SRR7257077"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680516_Illumina_P5-Xefac_P7-Wapah&apos; containing sample &apos;BLCA-011_N&apos; from subject &apos;BLCA-011&apos;"
"SRR7257079"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0212680515_Illumina_P5-Xebeh_P7-Wolij&apos; containing sample &apos;BLCA-010_T&apos; from subject &apos;BLCA-010&apos;"
