accession	description
"SRR12520062"	"Illumina HiSeq 2500 sequencing; GSM4747284: Blood_Platelets_MGH-BrCa-H64 [MGH-BrCa-H64-TR607]; Homo sapiens; RNA-Seq"
"SRR12520064"	"Illumina HiSeq 2500 sequencing; GSM4747286: Blood_Platelets_MGH-BrCa-P10 [MGH-BrCa-P10-TR701]; Homo sapiens; RNA-Seq"
"SRR12520065"	"Illumina HiSeq 2500 sequencing; GSM4747287: Blood_Platelets_MGH-BrCa-03 [MGH-BrCa-03-TR1173]; Homo sapiens; RNA-Seq"
"SRR12520066"	"Illumina HiSeq 2500 sequencing; GSM4747288: Blood_Platelets_MGH-BrCa-10 [MGH-BrCa-10-TR1184]; Homo sapiens; RNA-Seq"
"SRR12520060"	"Illumina HiSeq 2500 sequencing; GSM4747282: Blood_Platelets_MGH-BrCa-H81 [MGH-BrCa-H81-TR492]; Homo sapiens; RNA-Seq"
"SRR12520061"	"Illumina HiSeq 2500 sequencing; GSM4747283: Blood_Platelets_MGH-BrCa-H114 [MGH-BrCa-H114-TR630]; Homo sapiens; RNA-Seq"
"SRR12520063"	"Illumina HiSeq 2500 sequencing; GSM4747285: Blood_Platelets_MGH-BrCa-P37 [MGH-BrCa-P37-TR621]; Homo sapiens; RNA-Seq"
"SRR12520067"	"Illumina HiSeq 2500 sequencing; GSM4747289: Blood_Platelets_MGH-BrCa-15 [MGH-BrCa-15-TR1175]; Homo sapiens; RNA-Seq"
"SRR12520068"	"Illumina HiSeq 2500 sequencing; GSM4747290: Blood_Platelets_MGH-BrCa-97 [MGH-BrCa-97-TR1198]; Homo sapiens; RNA-Seq"
"SRR096282"	"Illumina Genome Analyzer sequencing; GSM655241: BrCa-02"
"SRR096283"	"Illumina Genome Analyzer sequencing; GSM655242: BrCa-03"
"SRR096284"	"Illumina Genome Analyzer sequencing; GSM655243: BrCa-05"
"SRR096285"	"Illumina Genome Analyzer sequencing; GSM655244: BrCa-06"
"SRR096286"	"Illumina Genome Analyzer sequencing; GSM655245: BrCa-07"
"SRR096287"	"Illumina Genome Analyzer sequencing; GSM655246: BrCa-08"
"SRR096288"	"Illumina Genome Analyzer sequencing; GSM655247: BrCa-09"
"SRR096289"	"Illumina Genome Analyzer sequencing; GSM655248: BrCa-10"
"SRR096290"	"Illumina Genome Analyzer sequencing; GSM655249: BrCa-11"
"SRR096291"	"Illumina Genome Analyzer sequencing; GSM655250: BrCa-12"
"SRR096292"	"Illumina Genome Analyzer sequencing; GSM655251: BrCa-14"
"SRR096293"	"Illumina Genome Analyzer sequencing; GSM655252: BrCa-15"
"SRR096294"	"Illumina Genome Analyzer sequencing; GSM655253: BrCa-16"
"SRR096295"	"Illumina Genome Analyzer sequencing; GSM655254: BrCa-17"
"SRR096296"	"Illumina Genome Analyzer sequencing; GSM655255: BrCa-20"
"SRR096297"	"Illumina Genome Analyzer sequencing; GSM655256: BrCa-23"
"SRR096298"	"Illumina Genome Analyzer sequencing; GSM655257: BrCa-25"
"SRR096299"	"Illumina Genome Analyzer sequencing; GSM655258: BrCa-32"
"SRR096300"	"Illumina Genome Analyzer sequencing; GSM655259: BrCa-33"
"SRR096301"	"Illumina Genome Analyzer sequencing; GSM655260: BrCa-37"
"SRR096302"	"Illumina Genome Analyzer sequencing; GSM655261: BrCa-38"
"SRR096303"	"Illumina Genome Analyzer sequencing; GSM655262: BrCa-40"
"SRR096304"	"Illumina Genome Analyzer sequencing; GSM655263: BrCa-41"
"SRR096307"	"Illumina Genome Analyzer sequencing; GSM655266: BrCa-49"
"SRR096309"	"Illumina Genome Analyzer sequencing; GSM655268: BrCa-51"
"SRR096311"	"Illumina Genome Analyzer sequencing; GSM655270: BrCa-59"
"SRR096313"	"Illumina Genome Analyzer sequencing; GSM655272: BrCa-63"
"SRR096315"	"Illumina Genome Analyzer sequencing; GSM655274: BrCa-67"
"SRR096316"	"Illumina Genome Analyzer sequencing; GSM655275: BrCa-68"
"SRR096318"	"Illumina Genome Analyzer sequencing; GSM655277: BrCa-72"
"SRR096305"	"Illumina Genome Analyzer sequencing; GSM655264: BrCa-43"
"SRR096306"	"Illumina Genome Analyzer sequencing; GSM655265: BrCa-44"
"SRR096308"	"Illumina Genome Analyzer sequencing; GSM655267: BrCa-50"
"SRR096310"	"Illumina Genome Analyzer sequencing; GSM655269: BrCa-55"
"SRR096312"	"Illumina Genome Analyzer sequencing; GSM655271: BrCa-60"
"SRR096314"	"Illumina Genome Analyzer sequencing; GSM655273: BrCa-65"
"SRR096317"	"Illumina Genome Analyzer sequencing; GSM655276: BrCa-70"
"SRR096281"	"Illumina Genome Analyzer sequencing; GSM655240: BrCa-01"
"SRR10007777"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007775"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007773"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007771"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007769"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007768"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007765"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007764"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007762"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007759"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007757"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007755"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007754"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007753"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007752"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007750"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007749"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007747"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007745"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007744"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007742"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007740"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007738"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007822"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007821"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007820"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007819"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007818"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007817"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007816"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007815"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007814"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007813"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007803"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007802"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007801"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007800"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007799"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007798"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007797"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007796"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007795"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007794"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
"SRR10007793"	"HiSeq X Ten sequencing; Primary BRCA RNA sequencing"
