accession	description
"SRR8561811"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561807"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561809"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561810"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561808"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561806"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561805"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR8561804"	"Illumina HiSeq 2500 sequencing; RNA-Seq of cervical squamous cell carcinoma"
"SRR5904123"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: cervical squamous cell carcinoma tissues"
"SRR5904121"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: cervical squamous cell carcinoma tissues"
"SRR5904119"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: cervical squamous cell carcinoma tissues"
"SRR5904122"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: cervical squamous cell carcinoma tissues"
"SRR11894966"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR11894971"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR11894973"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR11894975"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR11894978"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR11894980"	"NextSeq 550 sequencing; Single cell RNA-seq of adult human oral cavity squamous cell carcinoma metastatic cervical lymph node: Sample MEEI5_Primary"
"SRR5904126"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: matched adjacent non-tumor tissues of cervical squamous cell carcinoma"
"SRR5904125"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: matched adjacent non-tumor tissues of cervical squamous cell carcinoma"
"SRR5904124"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: matched adjacent non-tumor tissues of cervical squamous cell carcinoma"
"SRR5904120"	"Illumina HiSeq 2500 sequencing; RNA-seq of Homo sapiens: matched adjacent non-tumor tissues of cervical squamous cell carcinoma"
