accession	description
"SRR1577902"	"Illumina HiSeq 2000 paired end sequencing; Human colon adenocarcinoma cells ,Caco-2 cell Transcriptome or Gene expression"
"SRR10202441"	"Illumina Genome Analyzer IIx sequencing; T10 Colon adenocarcinoma"
"SRR7747490"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031266"
"SRR7747629"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3035327"
"SRR7747631"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031416"
"SRR7747633"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031419"
"SRR7747637"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031425"
"SRR7747639"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3035329"
"SRR7747641"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031428"
"SRR7747671"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031464"
"SRR7747484"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3035301"
"SRR7747488"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031263"
"SRR7747673"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031467"
"SRR7747647"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031437"
"SRR7747649"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3035331"
"SRR7747655"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3031446"
"SRR7747669"	"Illumina HiSeq 2500 sequencing; WXS of human: Colon Adenocarcinoma of colon: Sample 3035335"
"SRR7747485"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Colon Adenocarcinoma of colon: Sample 3035533"
"SRR7747486"	"Illumina HiSeq 2500 sequencing; RNA-Seq of human: Colon Adenocarcinoma of colon: Sample 3029849"
"SRR7747489"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Colon Adenocarcinoma of colon: Sample 3029856"
