accession	description
"SRR10349788"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR10349892"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR1035870"	"Illumina HiSeq 2000 sequencing; Bsseq tumor glioblastoma"
"SRR1035871"	"Illumina HiSeq 2000 sequencing; Bsseq tumor glioblastoma"
"SRR1035872"	"Illumina HiSeq 2000 sequencing; Bsseq tumor glioblastoma"
"SRR10349891"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR1035873"	"Illumina HiSeq 2000 sequencing; Bsseq tumor glioblastoma"
"SRR10349682"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR1035874"	"Illumina HiSeq 2000 sequencing; Bsseq tumor glioblastoma"
"SRR10349844"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR10349671"	"NextSeq 500 sequencing; scRNA-seq of Glioblastoma"
"SRR10349792"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349790"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349786"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349784"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349782"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349780"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349778"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349776"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349774"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349773"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349771"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349769"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349767"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349765"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349763"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349760"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349758"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349757"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349755"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349753"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349751"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349749"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349747"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349745"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349743"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349740"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349738"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349736"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349732"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349730"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349728"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349726"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349724"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349722"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349720"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349718"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349717"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349715"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349714"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349712"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349710"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349708"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349706"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349704"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349702"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349700"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349698"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349697"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349695"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349693"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349691"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349689"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349687"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349685"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349683"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349681"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349679"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349677"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349674"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349672"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349670"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349668"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349666"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349665"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349663"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349661"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349659"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349657"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349655"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349653"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349651"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349648"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349646"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349645"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349643"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349641"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349640"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349638"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349636"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349635"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349633"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349632"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349630"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349628"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349626"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349624"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349622"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349619"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349617"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349615"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349613"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349611"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349609"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349607"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349890"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349888"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349886"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349885"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349883"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349882"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349880"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349877"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349875"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349874"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349872"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349869"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349867"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349865"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349863"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349861"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349858"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349856"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349854"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349889"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349887"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349884"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349881"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349879"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349878"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349876"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349873"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349871"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349870"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349868"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349866"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349864"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349862"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349860"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349859"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
"SRR10349857"	"Illumina HiSeq 2000 sequencing; scRNA-seq of Glioblastoma"
