accession	description
"SRR11860561"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860559"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860557"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860555"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860554"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860553"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860552"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860551"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860548"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860545"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860544"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860543"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860541"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860540"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860539"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860537"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860536"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860534"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860533"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860530"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860528"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860526"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860524"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860523"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860522"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860521"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860519"	"Illumina MiSeq sequencing; RNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860550"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860549"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
"SRR11860547"	"Illumina MiSeq sequencing; DNA-seq of Homo Sapiens; Head and neck squamous cell carcinoma (HNSCC)"
