accession	description
"SRR3378509"	"Illumina HiSeq 2500 sequencing; Transcriptomics of Kidney Cancer"
"SRR3379021"	"Illumina HiSeq 2500 sequencing; Transcriptomics of Kidney Cancer"
"SRR3399435"	"Illumina HiSeq 2500 sequencing; Transcriptomics of Kidney Cancer"
"SRR6692498"	"Illumina HiSeq 2000 sequencing; Patient A7 Breast Cancer Kidney Metastasis RNASeq"
"SRR6677810"	"Illumina HiSeq 2500 sequencing; Patient A7 Breast Cancer Kidney Metastasis Whole Exome Seq"
"SRR1528755"	"Illumina HiSeq 2500 sequencing; Targeted DNA sequencing of human: prostate cancer kidney met: Sample LMG-1048"
"ERR351434"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351438"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351378"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351376"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351431"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351406"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351402"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351444"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351405"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351356"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351365"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351413"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351345"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351436"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351433"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351391"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351400"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351377"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351445"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351435"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351419"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351418"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351396"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351397"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351408"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351355"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351348"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351423"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351385"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351421"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351443"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351426"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351420"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351425"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351363"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351366"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351395"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351353"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351411"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351432"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351371"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
"ERR351347"	"Illumina HiSeq 2000 sequencing; Variation in chromatin accessibility in human kidney cancer links H3K36 methyltransferase loss with widespread RNA processing defects"
