accession	description
"SRR7747422"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029326"
"SRR7747424"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3035200"
"SRR7747725"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029769"
"SRR7747727"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039666"
"SRR7747730"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039672"
"SRR7747732"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039647"
"SRR7747735"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039651"
"SRR7747737"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041519"
"SRR7747738"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041535"
"SRR7747740"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041527"
"SRR7747430"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029341"
"SRR7747557"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029674"
"SRR7747559"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3035172"
"SRR7747561"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029679"
"SRR7747698"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039507"
"SRR7747700"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3038241"
"SRR7747715"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041547"
"SRR7747719"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3035188"
"SRR7747723"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029764"
"SRR7747728"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039517"
"SRR7747729"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039669"
"SRR7747731"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039675"
"SRR7747733"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039521"
"SRR7747734"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039649"
"SRR7747736"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039653"
"SRR7747739"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041523"
"SRR7747741"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041531"
"SRR7747677"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029714"
"SRR7747679"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3035180"
"SRR7747681"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3029719"
"SRR7747697"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039713"
"SRR7747699"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039714"
"SRR7747701"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3039715"
"SRR7747707"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041538"
"SRR7747709"	"Illumina HiSeq 2500 sequencing; WXS of human: Kidney Clear cell renal carcinoma: Sample 3041616"
"SRR7747403"	"Illumina HiSeq 2500 sequencing; miRNA-Seq of human: Kidney Clear cell renal carcinoma: Sample 3040426"
