accession	description
"SRR13690538"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_38"
"SRR13690548"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_54"
"SRR13690533"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_31"
"SRR13690536"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_34"
"SRR13690545"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_51"
"SRR13690547"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_53"
"SRR13690549"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in liver&quot;: Sample NCI_56"
"SRR13690495"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_34"
"SRR13690492"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_31"
"SRR13690497"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_38"
"SRR13690499"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_40"
"SRR13690507"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_51"
"SRR13690511"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_56"
"SRR13690489"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in liver&quot;: Sample NCI_23"
