accession	description
"SRR7255372"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488006_Illumina_P5-Boxac_P7-Tawah&apos; containing sample &apos;SU2C-DFCI-LUAD-1010-NB&apos; from subject &apos;SU2C-1010&apos;"
"SRR7255376"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456672_Illumina_P5-Nerow_P7-Jacaz&apos; containing sample &apos;SU2C-DFCI-LUAD-1003-NB&apos; from subject &apos;SU2C-1003&apos;"
"SRR7255378"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456617_Illumina_P5-Docop_P7-Hikiw&apos; containing sample &apos;SU2C-DFCI-LUAD-1005-TP&apos; from subject &apos;SU2C-1005&apos;"
"SRR7255380"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456645_Illumina_P5-Poheh_P7-Nofeh&apos; containing sample &apos;SU2C-DFCI-LUAD-1018-TP&apos; from subject &apos;SU2C-1018&apos;"
"SRR7255382"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185487955_Illumina_P5-Pojif_P7-Xedeb&apos; containing sample &apos;SU2C-DFCI-LUAD-1017-NB&apos; from subject &apos;SU2C-1017&apos;"
"SRR7255384"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185487956_Illumina_P5-Boleh_P7-Nanat&apos; containing sample &apos;SU2C-DFCI-LUAD-1005-NB&apos; from subject &apos;SU2C-1005&apos;"
"SRR7255386"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488622_Illumina_P5-Diweh_P7-Peten&apos; containing sample &apos;SU2C-DFCI-LUAD-1016-NB&apos; from subject &apos;SU2C-1016&apos;"
"SRR7255388"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456649_Illumina_P5-Hapow_P7-Halex&apos; containing sample &apos;SU2C-DFCI-LUAD-1004-NB&apos; from subject &apos;SU2C-1004&apos;"
"SRR7255391"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185487965_Illumina_P5-Pifaz_P7-Hihar&apos; containing sample &apos;SU2C-DFCI-LUAD-1003-TP&apos; from subject &apos;SU2C-1003&apos;"
"SRR7255395"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185487958_Illumina_P5-Worox_P7-Xinay&apos; containing sample &apos;SU2C-DFCI-LUAD-1010-TM&apos; from subject &apos;SU2C-1010&apos;"
"SRR7255396"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488643_Illumina_P5-Pecef_P7-Fofeb&apos; containing sample &apos;SU2C-DFCI-LUAD-1004-TP&apos; from subject &apos;SU2C-1004&apos;"
"SRR7255370"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488002_Illumina_P5-Liwox_P7-Tefew&apos; containing sample &apos;SU2C-DFCI-LUAD-1018-NB&apos; from subject &apos;SU2C-1018&apos;"
"SRR7255375"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488007_Illumina_P5-Wexoj_P7-Pahol&apos; containing sample &apos;SU2C-DFCI-LUAD-1006-NB&apos; from subject &apos;SU2C-1006&apos;"
"SRR7255377"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488011_Illumina_P5-Xazen_P7-Xoren&apos; containing sample &apos;SU2C-DFCI-LUAD-1020-NB&apos; from subject &apos;SU2C-1020&apos;"
"SRR7255379"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456646_Illumina_P5-Fibow_P7-Bebor&apos; containing sample &apos;SU2C-DFCI-LUAD-1002-NB&apos; from subject &apos;SU2C-1002&apos;"
"SRR7255381"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488614_Illumina_P5-Yewow_P7-Tehed&apos; containing sample &apos;SU2C-DFCI-LUAD-1013-TP&apos; from subject &apos;SU2C-1013&apos;"
"SRR7255383"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0187456696_Illumina_P5-Jaxah_P7-Nehin&apos; containing sample &apos;SU2C-DFCI-LUAD-1006-TP&apos; from subject &apos;SU2C-1006&apos;"
"SRR7255385"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488626_Illumina_P5-Lolip_P7-Xopad&apos; containing sample &apos;SU2C-DFCI-LUAD-1016-TM&apos; from subject &apos;SU2C-1016&apos;"
"SRR7255387"	"Illumina HiSeq 4000 paired end sequencing; NCI_ImmuneCheckpointBlockade Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0185488005_Illumina_P5-Pifoc_P7-Hoden&apos; containing sample &apos;SU2C-DFCI-LUAD-1011-NB&apos; from subject &apos;SU2C-1011&apos;"
