accession	description
"SRR1210482"	"Illumina HiSeq 2000 sequencing; Lung Cancer smRNA-seq"
"SRR13662558"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662557"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662556"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662555"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662554"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662553"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662552"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662544"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662543"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662538"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662537"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662536"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662535"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662533"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662530"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662529"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662520"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662513"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662512"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662511"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662510"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662563"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662562"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662561"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662560"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662559"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662551"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662550"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662549"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662548"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662547"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662546"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662545"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662542"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662541"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662540"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662539"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662534"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662532"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662531"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662528"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662527"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662526"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662525"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662524"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662523"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662522"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662521"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13662518"	"Illumina NovaSeq 6000 sequencing; WES of lung cancer"
"SRR13626916"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626889"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626887"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626886"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626882"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626927"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626915"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626885"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR13626884"	"Illumina NovaSeq 6000 sequencing; RNA-Seq of lung cancer"
"SRR6125324"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125323"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125322"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125465"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125481"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125480"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125479"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125478"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125477"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
"SRR6125476"	"Illumina MiSeq sequencing; Lung Cancer Metagenome"
