accession	description
"SRR7047475"	"NextSeq 500 sequencing; Lung squamous cell carcinoma cell line"
"SRR7047476"	"NextSeq 500 sequencing; Lung squamous cell carcinoma cell line"
"SRR8801537"	"Illumina HiSeq 2000 sequencing; Patient 16 Lung Squamous Cell Carcinoma FFPE"
"SRR8801535"	"Illumina HiSeq 2000 sequencing; Patient 14 Lung Squamous Cell Carcinoma FFPE"
"SRR8801533"	"Illumina HiSeq 2000 sequencing; Patient 12 Lung Squamous Cell Carcinoma FFPE"
"SRR8801531"	"Illumina HiSeq 2000 sequencing; Patient 10 Lung Squamous Cell Carcinoma FFPE"
"SRR8801529"	"Illumina HiSeq 2000 sequencing; Patient 18 Lung Squamous Cell Carcinoma FFPE"
"SRR8801527"	"Illumina HiSeq 2000 sequencing; Patient 08 Lung Squamous Cell Carcinoma FFPE"
"SRR8801525"	"Illumina HiSeq 2000 sequencing; Patient 06 Lung Squamous Cell Carcinoma FFPE"
"SRR8801523"	"Illumina HiSeq 2000 sequencing; Patient 32 Lung Squamous Cell Carcinoma FFPE"
"SRR8801521"	"Illumina HiSeq 2000 sequencing; Patient 34 Lung Squamous Cell Carcinoma FFPE"
"SRR8801519"	"Illumina HiSeq 2000 sequencing; Patient 29 Lung Squamous Cell Carcinoma FFPE"
"SRR8801517"	"Illumina HiSeq 2000 sequencing; Patient 30 Lung Squamous Cell Carcinoma FFPE"
"SRR8801515"	"Illumina HiSeq 2000 sequencing; Patient 36 Lung Squamous Cell Carcinoma FFPE"
"SRR8801513"	"Illumina HiSeq 2000 sequencing; Patient 26 Lung Squamous Cell Carcinoma FFPE"
"SRR8801511"	"Illumina HiSeq 2000 sequencing; Patient 22 Lung Squamous Cell Carcinoma FFPE"
"SRR8801509"	"Illumina HiSeq 2000 sequencing; Patient 24 Lung Squamous Cell Carcinoma FFPE"
"SRR8801507"	"Illumina HiSeq 2000 sequencing; Patient 19 Lung Squamous Cell Carcinoma FFPE"
"SRR8801505"	"Illumina HiSeq 2000 sequencing; Patient 20 Lung Squamous Cell Carcinoma FFPE"
