accession	description
"SRR1200742"	"Illumina HiSeq 2000 sequencing; 100% HCC78 NSCLC cell line"
"SRR12519995"	"Illumina HiSeq 2500 sequencing; GSM4747220: Blood_Platelets_Vumc-NSCLC-57 [Vumc-NSCLC-57]; Homo sapiens; RNA-Seq"
"SRR12519982"	"Illumina HiSeq 2500 sequencing; GSM4747207: Blood_Platelets_Vumc-NSCLC-027 [Vumc-NSCLC-027]; Homo sapiens; RNA-Seq"
"SRR12519983"	"Illumina HiSeq 2500 sequencing; GSM4747208: Blood_Platelets_Vumc-NSCLC-054 [Vumc-NSCLC-054]; Homo sapiens; RNA-Seq"
"SRR12519984"	"Illumina HiSeq 2500 sequencing; GSM4747209: Blood_Platelets_Vumc-NSCLC-063 [Vumc-NSCLC-063]; Homo sapiens; RNA-Seq"
"SRR12519986"	"Illumina HiSeq 2500 sequencing; GSM4747211: Blood_Platelets_Vumc-NSCLC-084 [Vumc-NSCLC-084]; Homo sapiens; RNA-Seq"
"SRR12519987"	"Illumina HiSeq 2500 sequencing; GSM4747212: Blood_Platelets_Vumc-NSCLC-088 [Vumc-NSCLC-088]; Homo sapiens; RNA-Seq"
"SRR12519989"	"Illumina HiSeq 2500 sequencing; GSM4747214: Blood_Platelets_Vumc-NSCLC-142 [Vumc-NSCLC-142]; Homo sapiens; RNA-Seq"
"SRR12519990"	"Illumina HiSeq 2500 sequencing; GSM4747215: Blood_Platelets_Vumc-NSCLC-143 [Vumc-NSCLC-143]; Homo sapiens; RNA-Seq"
"SRR12519991"	"Illumina HiSeq 2500 sequencing; GSM4747216: Blood_Platelets_Vumc-NSCLC-144 [Vumc-NSCLC-144]; Homo sapiens; RNA-Seq"
"SRR12519993"	"Illumina HiSeq 2500 sequencing; GSM4747218: Blood_Platelets_Vumc-NSCLC-150 [Vumc-NSCLC-150]; Homo sapiens; RNA-Seq"
"SRR12519985"	"Illumina HiSeq 2500 sequencing; GSM4747210: Blood_Platelets_Vumc-NSCLC-081 [Vumc-NSCLC-081]; Homo sapiens; RNA-Seq"
"SRR12519988"	"Illumina HiSeq 2500 sequencing; GSM4747213: Blood_Platelets_Vumc-NSCLC-129 [Vumc-NSCLC-129]; Homo sapiens; RNA-Seq"
"SRR12519992"	"Illumina HiSeq 2500 sequencing; GSM4747217: Blood_Platelets_Vumc-NSCLC-145 [Vumc-NSCLC-145]; Homo sapiens; RNA-Seq"
"SRR12519994"	"Illumina HiSeq 2500 sequencing; GSM4747219: Blood_Platelets_Vumc-NSCLC-155 [Vumc-NSCLC-155]; Homo sapiens; RNA-Seq"
"SRR12520022"	"Illumina HiSeq 2500 sequencing; GSM4747247: Blood_Platelets_MGH-NSCLC-L119 [MGH-NSCLC-L119-TR688]; Homo sapiens; RNA-Seq"
"SRR12520024"	"Illumina HiSeq 2500 sequencing; GSM4747249: Blood_Platelets_MGH-NSCLC-L131 [MGH-NSCLC-L131-TR909]; Homo sapiens; RNA-Seq"
"SRR12520025"	"Illumina HiSeq 2500 sequencing; GSM4747250: Blood_Platelets_MGH-NSCLC-L133 [MGH-NSCLC-L133-TR910]; Homo sapiens; RNA-Seq"
"SRR12520026"	"Illumina HiSeq 2500 sequencing; GSM4747251: Blood_Platelets_MGH-NSCLC-L158 [MGH-NSCLC-L158-TR913]; Homo sapiens; RNA-Seq"
"SRR12520028"	"Illumina HiSeq 2500 sequencing; GSM4747253: Blood_Platelets_Vumc-NSCLC-204 [Vumc-NSCLC-204-TR901]; Homo sapiens; RNA-Seq"
"SRR12520031"	"Illumina HiSeq 2500 sequencing; GSM4747255: Blood_Platelets_Vumc-NSCLC-149 [Vumc-NSCLC-149-TR954]; Homo sapiens; RNA-Seq"
"SRR12520032"	"Illumina HiSeq 2500 sequencing; GSM4747256: Blood_Platelets_Vumc-NSCLC-161 [Vumc-NSCLC-161-TR958]; Homo sapiens; RNA-Seq"
"SRR12520033"	"Illumina HiSeq 2500 sequencing; GSM4747257: Blood_Platelets_Vumc-NSCLC-166 [Vumc-NSCLC-166-TR960]; Homo sapiens; RNA-Seq"
"SRR12520035"	"Illumina HiSeq 2500 sequencing; GSM4747259: Blood_Platelets_Vumc-NSCLC-171 [Vumc-NSCLC-171-TR962]; Homo sapiens; RNA-Seq"
"SRR12520038"	"Illumina HiSeq 2500 sequencing; GSM4747262: Blood_Platelets_Vumc-NSCLC-232 [Vumc-NSCLC-232-TR998]; Homo sapiens; RNA-Seq"
"SRR12520039"	"Illumina HiSeq 2500 sequencing; GSM4747263: Blood_Platelets_Vumc-NSCLC-278 [Vumc-NSCLC-278-TR1048]; Homo sapiens; RNA-Seq"
"SRR12520042"	"Illumina HiSeq 2500 sequencing; GSM4747266: Blood_Platelets_NKI-NSCLC-1016 [NKI-NSCLC-1016-TR1329]; Homo sapiens; RNA-Seq"
"SRR12520044"	"Illumina HiSeq 2500 sequencing; GSM4747268: Blood_Platelets_Vumc-NSCLC-513 [Vumc-NSCLC-513-TR1305]; Homo sapiens; RNA-Seq"
"SRR12520046"	"Illumina HiSeq 2500 sequencing; GSM4747269: Blood_Platelets_NKI-NSCLC-882 [NKI-NSCLC-882-TR1319]; Homo sapiens; RNA-Seq"
"SRR12520048"	"Illumina HiSeq 2500 sequencing; GSM4747271: Blood_Platelets_NKI-NSCLC-1485 [NKI-NSCLC-1485-TR1340]; Homo sapiens; RNA-Seq"
"SRR12520050"	"Illumina HiSeq 2500 sequencing; GSM4747272: Blood_Platelets_NKI-NSCLC-1535 [NKI-NSCLC-1535-TR1308]; Homo sapiens; RNA-Seq"
"SRR12519997"	"Illumina HiSeq 2500 sequencing; GSM4747222: Blood_Platelets_MGH-NSCLC-L07 [MGH-NSCLC-L07-TR459]; Homo sapiens; RNA-Seq"
"SRR12519998"	"Illumina HiSeq 2500 sequencing; GSM4747223: Blood_Platelets_MGH-NSCLC-L114 [MGH-NSCLC-L114-TR527]; Homo sapiens; RNA-Seq"
"SRR12520002"	"Illumina HiSeq 2500 sequencing; GSM4747227: Blood_Platelets_MGH-NSCLC-L37 [MGH-NSCLC-L37-TR503]; Homo sapiens; RNA-Seq"
"SRR12520004"	"Illumina HiSeq 2500 sequencing; GSM4747229: Blood_Platelets_MGH-NSCLC-L58 [MGH-NSCLC-L58-TR525]; Homo sapiens; RNA-Seq"
"SRR12520006"	"Illumina HiSeq 2500 sequencing; GSM4747231: Blood_Platelets_Vumc-NSCLC-071 [Vumc-NSCLC-071-TR486]; Homo sapiens; RNA-Seq"
"SRR12520008"	"Illumina HiSeq 2500 sequencing; GSM4747233: Blood_Platelets_MGH-NSCLC-L41 [MGH-NSCLC-L41-TR616]; Homo sapiens; RNA-Seq"
"SRR12520009"	"Illumina HiSeq 2500 sequencing; GSM4747234: Blood_Platelets_MGH-NSCLC-L73 [MGH-NSCLC-L73-TR578]; Homo sapiens; RNA-Seq"
"SRR12520012"	"Illumina HiSeq 2500 sequencing; GSM4747237: Blood_Platelets_Vumc-NSCLC-175 [MGH-NSCLC-175-TR707]; Homo sapiens; RNA-Seq"
"SRR12520013"	"Illumina HiSeq 2500 sequencing; GSM4747238: Blood_Platelets_MGH-NSCLC-L122 [MGH-NSCLC-L122-TR715]; Homo sapiens; RNA-Seq"
"SRR12520015"	"Illumina HiSeq 2500 sequencing; GSM4747240: Blood_Platelets_MGH-NSCLC-L127 [MGH-NSCLC-L127-TR718]; Homo sapiens; RNA-Seq"
"SRR12520017"	"Illumina HiSeq 2500 sequencing; GSM4747242: Blood_Platelets_Vumc-NSCLC-172 [Vumc-NSCLC-172-TR667]; Homo sapiens; RNA-Seq"
"SRR12520036"	"Illumina HiSeq 2500 sequencing; GSM4747260: Blood_Platelets_Vumc-NSCLC-187 [Vumc-NSCLC-187-TR975]; Homo sapiens; RNA-Seq"
