accession	description
"SRR5191050"	"Illumina MiSeq sequencing; pancreatic head and Ctrol"
"SRR12536022"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536020"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536018"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536016"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536015"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536014"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536013"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536012"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536010"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536008"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536005"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536004"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536003"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536001"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535999"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535998"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535996"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535993"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535991"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535989"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535984"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536021"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536019"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536017"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536011"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536009"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536007"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536006"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536002"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12536000"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535997"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535995"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535994"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535992"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535990"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535988"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535987"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535986"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR12535985"	"Illumina MiSeq sequencing; Pancreatic cancer microbiome"
"SRR9925578"	"Illumina HiSeq 3000 sequencing; pancreatic cancer cell line"
"SRR9925580"	"Illumina HiSeq 3000 sequencing; pancreatic cancer cell line"
"SRR1662300"	"Ion Torrent PGM sequencing; AmpliSeq pancreatic cancer cell lines"
"SRR1662302"	"Ion Torrent PGM sequencing; AmpliSeq pancreatic cancer cell lines"
"SRR12165192"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165190"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165188"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165186"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165184"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165182"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165180"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165178"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165174"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165171"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165169"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165167"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165166"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165164"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165162"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165221"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165219"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165218"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165216"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165214"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165212"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165210"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165208"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165207"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165205"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165203"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165201"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165200"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165198"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165196"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165194"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165161"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165160"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165159"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165158"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165157"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165156"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165155"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165154"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165220"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165217"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165215"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165213"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165211"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165209"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165206"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165204"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165202"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165199"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165197"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165195"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165193"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165191"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165189"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165187"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
"SRR12165185"	"Illumina MiSeq sequencing; Illumina panel sequencing familial pancreatic cancer"
