accession	description
"SRR5179596"	"Ion Torrent Proton sequencing; Prostate cancer PR315"
"SRR1014665"	"Illumina HiSeq 2000 sequencing; prostate cancer study"
"SRR7646937"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5656: prostate cancer sample"
"SRR7646936"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5545: prostate cancer sample"
"SRR7646934"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5060: prostate cancer sample"
"SRR7646932"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5401: prostate cancer sample"
"SRR7646904"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 16599: prostate cancer sample"
"SRR7646902"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 13179: prostate cancer sample"
"SRR7646905"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 16995: prostate cancer sample"
"SRR7646903"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 15917: prostate cancer sample"
"SRR7646897"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 6359: prostate cancer sample"
"SRR7646896"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 10651: prostate cancer sample"
"SRR7646895"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 10738: prostate cancer sample"
"SRR7646894"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 11452: prostate cancer sample"
"SRR7646893"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5684: prostate cancer sample"
"SRR7646892"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5902: prostate cancer sample"
"SRR7646891"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5958: prostate cancer sample"
"SRR7646890"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 6053: prostate cancer sample"
"SRR7646889"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 12543: prostate cancer sample"
"SRR7646888"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 13104: prostate cancer sample"
"SRR7646935"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5287-2: prostate cancer sample"
"SRR7646933"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 5494-2: prostate cancer sample"
"SRR343267"	"Illumina HiSeq 2000 sequencing; Exome sequencing of LuCaP58 prostate cancer prostate cancer xenograft line"
"SRR343268"	"Illumina HiSeq 2000 paired end sequencing; Exome sequencing of LuCaP77 prostate cancer prostate cancer xenograft line"
"SRR343265"	"Illumina HiSeq 2000 paired end sequencing; Exome sequencing of LuCaP23.1 prostate cancer prostate cancer xenograft line"
"SRR343266"	"Illumina HiSeq 2000 paired end sequencing; Exome sequencing of LuCaP49 prostate cancer prostate cancer xenograft line"
"SRR343269"	"Illumina HiSeq 2000 paired end sequencing; Exome sequencing of LuCaP70 prostate cancer prostate cancer xenograft line"
"SRR13690531"	"NextSeq 500 sequencing; &quot;Tumor WXS in patients with small cell cancer, tumors in prostate&quot;: Sample NCI_22"
"SRR5177949"	"Ion Torrent Proton sequencing; Prostate cancer PR101"
"SRR5177952"	"Ion Torrent Proton sequencing; Prostate cancer PR103"
"SRR5177954"	"Ion Torrent Proton sequencing; Prostate cancer PR105"
"SRR5177956"	"Ion Torrent Proton sequencing; Prostate cancer PR107"
"SRR5177963"	"Ion Torrent Proton sequencing; Prostate cancer PR109"
"SRR5177970"	"Ion Torrent Proton sequencing; Prostate cancer PR113"
"SRR5178172"	"Ion Torrent Proton sequencing; Prostate cancer PR201"
"SRR5179563"	"Ion Torrent Proton sequencing; Prostate cancer PR202"
"SRR5179565"	"Ion Torrent Proton sequencing; Prostate cancer PR205"
"SRR5179567"	"Ion Torrent Proton sequencing; Prostate cancer PR207"
"SRR5177951"	"Ion Torrent Proton sequencing; Prostate cancer PR102"
"SRR5177953"	"Ion Torrent Proton sequencing; Prostate cancer PR104"
"SRR5177955"	"Ion Torrent Proton sequencing; Prostate cancer PR106"
"SRR5177958"	"Ion Torrent Proton sequencing; Prostate cancer PR108"
"SRR5177966"	"Ion Torrent Proton sequencing; Prostate cancer PR110"
"SRR5177967"	"Ion Torrent Proton sequencing; Prostate cancer PR111"
"SRR5177968"	"Ion Torrent Proton sequencing; Prostate cancer PR112"
"SRR5177971"	"Ion Torrent Proton sequencing; Prostate cancer PR114"
"SRR5177972"	"Ion Torrent Proton sequencing; Prostate cancer PR115"
"SRR5179564"	"Ion Torrent Proton sequencing; Prostate cancer PR203"
"SRR5179566"	"Ion Torrent Proton sequencing; Prostate cancer PR206"
"SRR5179568"	"Ion Torrent Proton sequencing; Prostate cancer PR208"
"SRR5179569"	"Ion Torrent Proton sequencing; Prostate cancer PR210"
"SRR5179597"	"Ion Torrent Proton sequencing; Prostate cancer PR401"
"SRR5179599"	"Ion Torrent Proton sequencing; Prostate cancer PR404"
"SRR5179602"	"Ion Torrent Proton sequencing; Prostate cancer PRY01"
"SRR5179604"	"Ion Torrent Proton sequencing; Prostate cancer PRY04"
"SRR5179570"	"Ion Torrent Proton sequencing; Prostate cancer PR212"
"SRR5179574"	"Ion Torrent Proton sequencing; Prostate cancer PR215"
"SRR5179581"	"Ion Torrent Proton sequencing; Prostate cancer PR306"
"SRR5179589"	"Ion Torrent Proton sequencing; Prostate cancer PR308"
"SRR5179590"	"Ion Torrent Proton sequencing; Prostate cancer PR309"
"SRR5179591"	"Ion Torrent Proton sequencing; Prostate cancer PR310"
"SRR5179594"	"Ion Torrent Proton sequencing; Prostate cancer PR312"
"SRR5179595"	"Ion Torrent Proton sequencing; Prostate cancer PR313"
"SRR5179598"	"Ion Torrent Proton sequencing; Prostate cancer PR403"
"SRR5179601"	"Ion Torrent Proton sequencing; Prostate cancer PR414"
"SRR5179603"	"Ion Torrent Proton sequencing; Prostate cancer PRY02"
"SRR5179571"	"Ion Torrent Proton sequencing; Prostate cancer PR213"
"SRR5179572"	"Ion Torrent Proton sequencing; Prostate cancer PR214"
"SRR5179578"	"Ion Torrent Proton sequencing; Prostate cancer PR302"
"SRR5179579"	"Ion Torrent Proton sequencing; Prostate cancer PR304"
"SRR5179580"	"Ion Torrent Proton sequencing; Prostate cancer PR305"
"SRR5179582"	"Ion Torrent Proton sequencing; Prostate cancer PR307"
"SRR5179592"	"Ion Torrent Proton sequencing; Prostate cancer PR311"
"SRR13690488"	"NextSeq 500 sequencing; &quot;Tumor RNA-seq in patients with small cell cancer, tumors in prostate&quot;: Sample NCI_22"
"SRR5190650"	"Ion Torrent PGM sequencing; Prostate cancer PR103-C"
"SRR5190644"	"Ion Torrent PGM sequencing; Prostate cancer PR102-C"
"SRR5190651"	"Ion Torrent PGM sequencing; Prostate cancer PR105-C"
"ERR4879095"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879097"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879100"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879101"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879103"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879105"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879108"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879110"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879112"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879114"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879117"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879120"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879124"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879126"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879128"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879130"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879133"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879134"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879135"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879137"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879138"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879140"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879142"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879143"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879145"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879147"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879148"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879149"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
"ERR4879151"	"NextSeq 500 sequencing; RNA-seq of human prostate cancer cell lines grown as orthotopic tumour models of castration resistant prostate cancer"
