accession	description
"SRR7646876"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 013.268.1: sarcoma sample"
"SRR7646957"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.883.16: sarcoma sample"
"SRR7646956"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.97.1: sarcoma sample"
"SRR7646955"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.487.1: sarcoma sample"
"SRR7646954"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.625.1: sarcoma sample"
"SRR7646953"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.109.1: sarcoma sample"
"SRR7646952"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.182.1: sarcoma sample"
"SRR7646951"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.791.1: sarcoma sample"
"SRR7646950"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.869.1: sarcoma sample"
"SRR7646949"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.64.1: sarcoma sample"
"SRR7646948"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 012.75.1: sarcoma sample"
"SRR7646877"	"Illumina HiSeq 2500 sequencing; Solid panel Targeted RNAseq of 106398-15MP-K: sarcoma sample"
"SRR5926896"	"Illumina HiSeq 2500 paired end sequencing; NHGRI_ClinicalCancerSequencing Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0173520440_Illumina_P5-Poded_P7-Rojan&apos; containing sample &apos;Sarcoma-PD1_responder01-PreTreatment&apos; from subject &apos;SARC-Sarcoma-PD1_responder-01&apos;"
"SRR5926897"	"Illumina HiSeq 2500 paired end sequencing; NHGRI_ClinicalCancerSequencing Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0175073091_Illumina_P5-Wexoj_P7-Pahol&apos; containing sample &apos;Sarcoma-PD1_responder01-PostResistance&apos; from subject &apos;SARC-Sarcoma-PD1_responder-01&apos;"
"SRR5926898"	"Illumina HiSeq 2500 paired end sequencing; NHGRI_ClinicalCancerSequencing Illumina random exon sequencing of &apos;genomic DNA&apos; paired-end library &apos;0175073291_Illumina_P5-Yahih_P7-Zepon&apos; containing sample &apos;Sarcoma-PD1_responder01-Blood&apos; from subject &apos;SARC-Sarcoma-PD1_responder-01&apos;"
"SRR6811998"	"Illumina HiSeq 3000 sequencing; sarcoma.1"
"SRR6811997"	"Illumina HiSeq 3000 sequencing; sarcoma.2"
"SRR6811996"	"Illumina HiSeq 3000 sequencing; sarcoma.3"
"SRR4106353"	"NextSeq 500 sequencing; Synovial Sarcoma (SS): Sample NCI0241"
"SRR4106355"	"NextSeq 500 sequencing; Synovial Sarcoma (SS): Sample NCI0242"
"SRR14078250"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078242"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078239"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078235"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078233"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078211"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078209"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078208"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, female"
"SRR2046441"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS18"
"SRR1777881"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS1"
"SRR1777883"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DT2"
"SRR1777888"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS5"
"SRR1777890"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS6"
"SRR2046439"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS11"
"SRR2046443"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS19"
"SRR1777882"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DT17"
"SRR1777884"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS3"
"SRR1777885"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS4"
"SRR1777891"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS7"
"SRR1777893"	"Illumina HiSeq 2500 sequencing; RNASeq Thoracic sarcoma SA4DTS8"
"SRR14078251"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078249"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078248"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, female"
"SRR14078247"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, female"
"SRR14078246"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, female"
"SRR14078245"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078243"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078241"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078240"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078234"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
"SRR14078232"	"Illumina MiSeq sequencing; PCR of Kaposis sarcoma, male"
